location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number,Database_name
Daly,RN007807,-14.444255748,132.285449884,,Limestone,,,,,,13.622190656065683,,0.30448326818768817,1.8514708907632174,2.5200858326263784,0.1410437235543018,0.17697272537997086,8.599999999999998,,0.02813421555412895,,,,,,,,,9,
Daly,RN007821,-14.54653,132.395,,Limestone,,,,,,11.684357236315117,,0.15224163409384409,1.4318041555235548,2.6448425570138228,0.0846262341325811,0.014574224443056422,7.3,,0.0562684311082579,,,,,,,,,9,
Daly,RN007838,-14.710453,132.059519,,Limestone,,,,,,11.30960240625839,,0.6742129509870238,1.2836864842624973,1.848894655421927,0.4259520451339915,0.30293566520924425,6.6,,0.17392060524370623,,,,,,,,,9,
Daly,RN007838,-14.710453,132.059519,,Limestone,,,,,,8.397280418038347,,0.7133607997540122,1.2836864842624973,,0.36671368124118475,0.25192587965854674,5.6,,0.18159357312210503,,,,,,,,,9,
Daly,RN008236,-14.57557,132.4713,,Limestone,,,,,,12.558951443647386,,0.07829569753397697,1.259000205718988,2.7695992814012675,0.031029619181946404,0.003123048094940662,8.4,,0.017903591716263878,,,,,,,,,9,
Daly,RN021098,-14.48369,132.247,,Limestone,,,,,,12.695964164856278,,0.30448326818768817,1.9337584859082493,2.070961624831578,0.2538787023977433,0.1561524047470331,7.8999999999999995,,0.07672967878398805,,,,,,,,,9,
Daly,RN021694,-14.457564171,132.2414534,,Limestone,,,,,,9.408459770299713,,0.17399043896439326,1.2343139271754784,1.8214481760566894,0.028208744710860365,0.12492192379762648,6.000000000000002,,0.025576559594662682,,,,,,,,,9,
Daly,RN022006,-14.5679,132.5053,,Limestone,,,,,,10.288698141915145,,0.18268996091261291,1.1520263320304465,2.055990817905085,0.16361071932299012,0.006246096189881324,6.7,,0.02813421555412895,,,,,,,,,9,
Daly,RN022286,-14.454347743,132.213009476,,Limestone,,,,,,10.742896020469166,,0.17399043896439326,1.1931701296029624,2.2456210389740003,0.05641748942172073,0.13533208411409536,6.900000000000001,,0.038364839391994025,,,,,,,,,9,
Daly,RN022391,-14.41105,132.2043,,Limestone,,,,,,7.580231761410245,,0.2914339852653587,1.0080230405266406,,0.22849083215796895,0.006246096189881324,6.000000000000002,,0.046037807270392826,,,,,,,,,9,
Daly,RN022394,-14.50392779,132.295794198,,Limestone,,,,,,11.786931514305296,,0.17834019993850306,1.5758074470273604,2.2231648285842605,0.12693935119887165,0.018738288569643973,7.6,,0.06394139898665671,,,,,,,,,9,
