location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number,Database_name
Steiermark,Blumau 2,47.12,16.04,2843.0,,,,,,,123.31804012724251,,,,,117.63046544428772,5.146991463668541,,,,,,,,540.5832192862406,,,,3,
Steiermark,Blumau 2,47.12,16.04,2843.0,,,,,,,127.38697393156376,,,,,121.57968970380817,5.276702061211743,,,,,,,,530.5821665438467,,,,3,
Steiermark,Blumau 2,47.12,16.04,2843.0,,,,,,,126.42789777739884,,,,,120.45133991537375,5.45492400582969,,,,,,,,521.633856195389,,,,3,
Steiermark,Blumau 2,47.12,16.04,2843.0,,,42.2,19850.0,7.0,-133.0,0.0016116035455278,0.0,,,,,,,,,,,0.0016116035455278,,,,,,3,
Steiermark,Blumau 2,47.12,16.04,2843.0,,,37.8,19870.0,7.0,-75.0,0.0016116035455278,0.0,,,,,,,,,,,0.0016116035455278,,,,,,3,
Steiermark,Blumau 2,47.12,16.04,2843.0,,,36.7,19910.0,7.0,-117.0,0.0016116035455278,0.0,,,,,,,,,,,0.0016116035455278,,,,,,3,
Steiermark,Blumau 2,47.12,16.04,2843.0,,,37.8,19870.0,7.0,-75.0,0.017416039363276705,0.0,,,,,,,,,15.749828806208624,,0.0016116035455278,5.460701154028177e-05,,,,,3,
Steiermark,Blumau 2,47.12,16.04,2843.0,,,37.8,19870.0,7.0,-75.0,128.3253136841001,0.0,,,,,,128.3253136841001,,,,,,,,,,,3,
Steiermark,Blumau 2,47.12,16.04,2843.0,Claystone,Carboniferous,,,,,120.12865650045708,,,,,113.81833568406205,5.776285654799084,,,,,,,,534.0351615959574,,,,3,
Steiermark,Blumau 2,47.12,16.04,2843.0,Limestone,Carboniferous,,,,,116.65928391405312,,,,,110.45754583921014,5.670934832396418,,,,,,,,530.8032424465733,,,,3,
Steiermark,Blumau 2,47.12,16.04,2843.0,Limestone,Carboniferous,,,,,121.51472328182902,,,,,115.03554301833569,5.937539038101186,,,,,,,,541.6412253921466,,,,3,
Steiermark,Blumau 2,47.12,16.04,2843.0,Sandstone,Carboniferous,,,,,0.0,,,,,,,,,,,,,,,,,,3,
Steiermark,Blumau 2,47.12,16.04,2843.0,Limestone,Cretaceous,,,,,0.0,,,,,,,,,,,,,,,,,,3,
Steiermark,Blumau 2,47.12,16.04,2843.0,Limestone,Carboniferous,,,,,0.0,,,,,,,,,,,,,,,,,,3,
Steiermark,Blumau 2,47.12,16.04,2843.0,,Carboniferous,,,,,110.9764566090764,,,,,105.21861777150916,5.208307307932542,,,,,,,,549.5315296346984,,,,3,
Steiermark,Blumau 2,47.12,16.04,2843.0,Claystone,Carboniferous,,,,,119.62442049979764,,,,,113.39915373765866,5.674682490110348,,,,,,,,550.5842720286346,,,,3,
Steiermark,Blumau 2,47.12,16.04,2843.0,Chert,,,,,,114.5760197718915,,,,,108.6036671368124,5.417031022277743,,,,,,,,555.3216128013476,,,,3,
Steiermark,Georgsquelle,47.02,14.41,53.0,Claystone,,23.5,2270.0,6.2,272.0,37.88011330138876,0.0,4.088775315663241,1.9749022834807652,9.231997604670891,1.5232722143864597,5.205080158234437,14.766424984594407,0.07348703170028818,0.8440264666238685,57.0645971239443,,0.017727639000805803,0.023663038334122102,73.69196757553425,,,,3,
Steiermark,Georgsquelle,47.02,14.41,53.0,Limestone,,25.0,2790.0,6.1,205.0,46.914886725007264,0.0,5.654689266342781,2.6332030446410206,11.477618643644892,2.2002820874471083,7.599417031022278,16.88059681923667,0.10086455331412103,0.12020983009491461,90.162063455832,,0.021488047273704,0.015289963231278896,121.06537530266343,,,,3,
Steiermark,Georgsquelle,47.02,14.41,53.0,Breccia,,25.4,2850.0,6.1,201.0,48.78148937851558,0.0,6.089665363753764,2.5920592470685047,11.477618643644892,2.482369534555712,7.495315427857589,17.044486108743822,0.10374639769452448,1.2276748605438088,91.30335539831088,,0.035813412122840005,0.015107939859477955,126.32908727234445,,,,3,
Steiermark,Georgsquelle,47.02,14.41,53.0,Limestone,,25.4,2860.0,6.1,153.0,48.629104504968595,0.0,6.089665363753764,2.5920592470685047,11.477618643644892,2.2284908321579686,7.599417031022278,17.044486108743822,0.10518731988472621,1.2276748605438088,92.44464734078976,,0.030441400304414,0.015289963231278896,126.32908727234445,,,,3,
Steiermark,Georgsquelle,47.02,14.41,53.0,,,21.0,2220.0,6.3,303.0,37.774571496578105,0.006250390649415589,3.740794437734455,2.262908866488377,9.231997604670891,1.55148095909732,5.4132833645638145,14.569757837185824,0.06772334293948126,0.7928733474345432,59.347181008902076,,0.0007162682424568001,0.00473260766682442,78.95567954521528,,,,3,
Prov. Hainaut,"Sondage de Saint-Ghislain  (1972-78) - 
Pl. 150E n° 387,  in Archives of the Belgian Geological Survey",50.446024,3.828489,5406.0,Breccia,,73.0,,,,36.571814502410945,,4.0200490922723064,3.1845299321127345,10.634263186785766,2.179971791255289,13.001873828856965,3.159129944539864,,0.22993327075601752,162.0634558320018,,,,,,,,3,
Prov. Hainaut,"Sondage de Saint-Ghislain  (1972-78) - 
Pl. 150E n° 387,  in Archives of the Belgian Geological Survey",50.446024,3.828489,5406.0,Limestone,,73.0,2300.0,,,35.39874265963163,,2.6968518039480953,3.0857848179386957,11.228105194870002,2.172073342736248,13.012700395586092,2.9500072111287383,,0.17903591716263878,74.1839762611276,,,,,,,,3,
Prov. Hainaut,"Sondage de Saint-Ghislain  (1972-78) - 
Pl. 150E n° 387,  in Archives of the Belgian Geological Survey",50.446024,3.828489,5406.0,Breccia,,73.0,2170.0,7.11,,35.21102353873138,,2.3358216430969794,3.2915038058012756,10.978591746095114,2.1354019746121295,13.281282531750989,2.9319793892829513,,0.18670888504103758,66.99383702351061,,0.0027397260273972603,,,,,,3,
Prov. Hainaut,"Sondage de Saint-Ghislain  (1972-78) - 
Pl. 150E n° 387,  in Archives of the Belgian Geological Survey",50.446024,3.828489,5406.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,3,
Prov. Hainaut,"Sondage de Saint-Ghislain  (1972-78) - 
Pl. 150E n° 387,  in Archives of the Belgian Geological Survey",50.446024,3.828489,5406.0,Breccia,,,,,,0.0,,,,,,,,,,,,,,,,,,3,
Prov. Hainaut,"Sondage de Douvrain (1979) - 
Pl. 139E (Baudour), n°352, in Archives of the Belgian Geological Survey",50.471559,3.855943,1447.3,Limestone,,67.0,,6.6,,22.73974808719818,,2.5198165323018253,2.3106356716724954,5.609062328459504,2.170098730606488,6.450968144909431,3.4390528510180802,,0.16010926306258838,80.00456516776991,,,,,,,,3,
Prov. Hainaut,"Sondage de Douvrain (1979) - 
Pl. 139E (Baudour), n°352, in Archives of the Belgian Geological Survey",50.471559,3.855943,1447.3,Sandstone,,67.0,1600.0,,,21.804825809349584,,2.174880487054916,1.7280394980456697,5.9883227705973345,1.8335684062059237,6.454299396210701,3.4416750796501945,,0.14067107777064475,43.36909381419766,,,,,,,,3,
Prov. Hainaut,"Sondage de Douvrain (1979) - 
Pl. 139E (Baudour), n°352, in Archives of the Belgian Geological Survey",50.471559,3.855943,1447.3,Chert,,67.0,1290.0,7.36,,20.01173475899328,,2.040037896857511,1.6416375231433862,5.411946703927342,1.932299012693935,5.499687695190505,3.2171467530253963,,0.14834404564904355,29.901848892946816,,0.09073327961321516,,,,,,3,
Prov. Hainaut,"Sondage de Douvrain (1979) - 
Pl. 139E (Baudour), n°352, in Archives of the Belgian Geological Survey",50.471559,3.855943,1447.3,,famen,,,,,0.0,,,,,,,,,,,,,,,,,,3,
Prov. Hainaut,"Sondage de Douvrain (1979) - 
Pl. 139E (Baudour), n°352, in Archives of the Belgian Geological Survey",50.471559,3.855943,1447.3,,cuis-thanet,,,,,0.0,,,,,,,,,,,,,,,,,,3,
Prov. Hainaut,"Sondage de Ghlin (1981) - 
Pl. 151W n° 722, in Archives of the Belgian Geological Survey",50.463329,3.913396,1579.5,,givet,71.0,,,,33.04875321198388,,3.9900357415509484,2.715490639786052,9.03238684565098,1.7461212976022564,11.721632313137622,3.6540755988514637,,0.1890107754045572,,,,,,,,,3,
Prov. Hainaut,"Sondage de Ghlin (1981) - 
Pl. 151W n° 722, in Archives of the Belgian Geological Survey",50.463329,3.913396,1579.5,,frasn-givet,71.0,,6.7,,35.569780066714344,,0.9177995655371745,3.073441678666941,10.706622086930485,0.31593794076163606,15.240474703310431,4.362732886680389,,0.13299810989224595,80.11869436201779,,0.7396544005730146,,,,,,3,
Prov. Hainaut,"Sondage de Ghlin (1981) - 
Pl. 151W n° 722, in Archives of the Belgian Geological Survey",50.463329,3.913396,1579.5,Limestone,variscan age,,,,,34.05052067654981,,0.9395483704077237,3.007611602550915,10.504516193422825,0.3610719322990127,14.596085779721006,4.502038782761469,,0.13964801538685825,,,,,,,,,3,
Prov. Antwerpen,"Merksplas-Beerse I (1983) -  Production well
Pl. 17W/265 n°165,  in Archives of the Belgian Geological Survey",51.341603,4.827091,1761.0,,,,,,,4244.760077075624,,1704.671325753643,69.94445587327711,199.61075901991117,2213.258110014104,7.370393504059963,,,49.6185256136456,,,0.28650729698272004,,,,,,3,
Prov. Antwerpen,"Merksplas-Beerse I (1983) -  Production well
Pl. 17W/265 n°165,  in Archives of the Belgian Geological Survey",51.341603,4.827091,1761.0,,,,,,,4315.464126481667,,1783.4019993850309,41.14379757251594,184.63995209341783,2284.9083215796895,6.974807412034145,13.750311389650063,,,,,0.6267347121497001,0.018202337180093925,,,,,3,
Prov. Antwerpen,"Merksplas-Beerse I (1983) -  Production well
Pl. 17W/265 n°165,  in Archives of the Belgian Geological Survey",51.341603,4.827091,1761.0,,,,,,,3808.1973173632637,,1457.1699263267935,39.909483645340465,252.00858326263784,1999.9999999999998,6.7874245263377055,5.736125132750324,,45.7820416744462,,,0.721640254275226,0.08209254068222359,,,,,3,
Prov. Antwerpen,"Merksplas-Beerse I (1983) -  Production well
Pl. 17W/265 n°165,  in Archives of the Belgian Geological Survey",51.341603,4.827091,1761.0,,,,,,,4018.958941047796,,1670.3082140581753,38.79860111088254,239.0338839263436,2009.873060648801,7.287112221528211,6.998072661955396,,46.54933846228608,,,0.05586892291163041,0.05478903491208271,,,,,3,
Prov. Antwerpen,"Merksplas-Beerse I (1983) -  Production well
Pl. 17W/265 n°165,  in Archives of the Belgian Geological Survey",51.341603,4.827091,1761.0,,,68.0,,,,0.0,,,,,,,,,,,,,,,,,,3,
Prov. Antwerpen,"Merksplas-Beerse I (1983) -  Production well
Pl. 17W/265 n°165,  in Archives of the Belgian Geological Survey",51.341603,4.827091,1761.0,,,68.0,,,,0.0,,,,,,,,,,,,,,,,,,3,
Prov. Antwerpen,"Merksplas-Beerse I (1983) -  Production well
Pl. 17W/265 n°165,  in Archives of the Belgian Geological Survey",51.341603,4.827091,1761.0,,"Jurassic 145-201,5",73.0,,,,0.0,,,,,,,,,,,,,,,,,,3,
Prov. Antwerpen,"Merksplas-Beerse I (1983) -  Production well
Pl. 17W/265 n°165,  in Archives of the Belgian Geological Survey",51.341603,4.827091,1761.0,,"Triassic 201,5-252,5",73.0,,,,0.0,,,,,,,,,,,,,,,,,,3,
Prov. Antwerpen,"Merksplas-Beerse I (1983) -  Production well
Pl. 17W/265 n°165,  in Archives of the Belgian Geological Survey",51.341603,4.827091,1761.0,,"Jurassic 145-201,5",68.0,,,,0.0,,,,,,,,,,,,,,,,,,3,
Prov. Antwerpen,Merksplas-Beerse II - injection well,51.340572,4.828146,800.0,,"Jurassic 145-201,5",,,,,0.0,,,,,,,,,,,,,,,,,,3,
Prov. Antwerpen,Merksplas-Beerse II - injection well,51.340572,4.828146,800.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,3,
Prov. Antwerpen,"MOL-GT-01-S1
Balmatt site",51.224258,5.110015,3610.0,,"Triassic 201,5-252,5",,130000.0,7.3,,4405.651528675942,,1637.2500306549405,19.888911746554207,182.34442836468884,2477.8561354019744,2.662919008952738,2.320672339421274,,83.32843115941102,,,,,,,,,3,
Prov. Antwerpen,"MOL-GT-01-S1
Balmatt site",51.224258,5.110015,3610.0,,"Triassic 201,5-252,5",,,,,0.0,,,,,,,,,,,,,,,,,,3,
