spring number,spring location,spring name,longitude,latitude,type,well_depth_(m),flow_rate_mean_(m^3_s^-1),flow_rate_min_(m^3_s^-1),flow_rate_max_(m^3_s^-1),temp_mean_(degr_C),temp_min_(degr_C),temp_max_(degr_C),reference,reference_DOI,reference_link,EC_(S_m^-1),pH,sample_temperature_(degr_C),TDS_(mg L^-1),TDS_min_(mg L^-1),TDS_max_(mg L^-1),Na_(mg L^-1),Ca_(mg L^-1),Mg_(mg L^-1),K_(mg L^-1),NH4_(mg L^-1),Cl_(mg L^-1),F_(mg L^-1),SO4_(mg L^-1),HCO3_(mg L^-1),CO3_(mg L^-1),NO3_(mg L^-1),Si_(mg L^-1),Li_(mg L^-1),SiO2_(mg L^-1),reference_hydrochemistry,doi_hydrochemistry,reference_link_hydrochemistry,delta_18O_(permille),delta_2H_(permille),3H_(TU),delta_14C_(pmc),delta_13C_(permille),reference_isotope_data,DOI_isotope_data,reference_link_isotope_data,temperature_(degr_C),flow_rate_(m^3_s^-1),log_flow_rate_(m^3_s^-1),log_temperature_(degr_C),geometry,recharge_(m_a^-1),lithology,gw_lvl_depth_(m),gw_lvl_elev_(m),surface_temp_(degr_C),elevation_(m),contributing_area_(m^2),log_contrib_area_(m^2),geometry_ws,watershed_area_(m^2),mean_recharge_ws_(m_a^-1),min_recharge_ws_(m_a^-1),max_recharge_ws_(m_a^-1),mean_gw_lvl_depth_ws_(m),min_gw_lvl_depth_ws_(m),max_gw_lvl_depth_ws_(m),mean_gw_lvl_elev_ws_(m),min_gw_lvl_elev_ws_(m),max_gw_lvl_elev_ws_(m),mean_surface_temp_ws_(degr_C),min_surface_temp_ws_(degr_C),max_surface_temp_ws_(degr_C),mean_elevation_ws_(m),min_elevation_ws_(m),max_elevation_ws_(m),ws_relief_(m),recharge_temp_max_(degr_C),recharge_temp_min_(degr_C),recharge_temp_best_(degr_C),rch_elev_max_(m),rch_elev_min_(m),rch_elev_best_(m),circulation_temp_best_(degr_C),circulation_temp_min_(degr_C),circulation_temp_max_(degr_C),circ_depth_best_(m),circ_depth_min_(m),circ_depth_max_(m),h_circ_depth_(m),Hv_down_min_(W),Hv_up_min_(W),Hv_down_best_(W),Hv_up_best_(W),Hv_down_max_(W),Hv_up_max_(W),Hv_ratio_min_(W),Hv_ratio_best_(W),Hv_ratio_max_(W),H_net_best_(W),H_net_min_(W),H_net_max_(W),H_down_best_(W),H_down_min_(W),H_down_max_(W),H_up_best_(W),H_up_min_(W),H_up_max_(W),Hv_net_best_(W),Hv_net_min_(W),Hv_net_max_(W),thermal_footprint_net_best_(m^2),thermal_footprint_net_min_(m^2),thermal_footprint_net_max_(m^2),thermal_radius_net_best_(m),thermal_radius_net_min_(m),thermal_radius_net_max_(m)
20,Euganei (Euganean geothermal area - Battaglia Terme),Fonte Le Bibite,11.77885556,45.28444444,spring,,,,,48.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9,,,1.6893088591236205,POINT (11.77885556 45.28444444),0.08047669739646204,1.0,3.2531089782714844,4.7468910217285165,13.399999976158142,4.0,,,,171900000.0,0.0999584532245277,0.07444911900344629,0.13177547180496696,6.277167052010608,-0.0,151.03392028808594,8.324923380121161,-1.2428001165390017,248.3455352783203,13.241203695727046,12.26250008059045,13.524999879921474,17.040701522170743,0.0,464.0,464.0,13.399999976158142,12.26250008059045,12.831250028374296,464.0,4.0,234.0,,,,,,,126.17276763916016,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Euganei (Euganean geothermal area - Cinto Euganeo),Bagno Nord,11.64996667,45.28694444,spring,,,,,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6,,,1.5390760987927767,POINT (11.64996667 45.28694444),0.07736626089841897,6.0,3.2570505142211914,30.222103118896484,13.520833320915699,71.0,,,,141400000.0,0.07289543415862204,0.06842460741882511,0.07736626089841897,18.58575124083421,-0.0,220.7052001953125,43.61554814817568,7.0,458.495361328125,13.227688731646902,11.583333277764421,13.608333434909582,62.744663713250105,3.0,578.0,575.0,13.520833320915699,11.583333277764421,12.55208329934006,578.0,71.0,324.5,,,,,,,264.7476806640625,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Euganei (Euganean geothermal area - Cinto Euganeo),Bagno Sud,11.6483,45.285,spring,,,,,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,,,1.4814426285023048,POINT (11.6483 45.285),0.07736626089841897,1.0,3.2570505142211914,17.742950439453125,13.520833320915699,29.0,,,,141400000.0,0.07289543415862204,0.06842460741882511,0.07736626089841897,18.58575124083421,-0.0,220.7052001953125,43.61554814817568,7.0,458.495361328125,13.227688731646902,11.583333277764421,13.608333434909582,62.744663713250105,3.0,578.0,575.0,13.520833320915699,11.583333277764421,12.55208329934006,578.0,29.0,303.5,,,,,,,243.7476806640625,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Euganei (Euganean geothermal area - Cinto Euganeo),Fattorelle,11.64552222,45.29583333,spring,,,,,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,,,1.3263358609287514,POINT (11.64552222 45.29583333),0.07736626089841897,7.0,13.895832061767578,23.104167938232425,13.433333387598395,44.0,,,,141400000.0,0.07289543415862204,0.06842460741882511,0.07736626089841897,18.58575124083421,-0.0,220.7052001953125,43.61554814817568,7.0,458.495361328125,13.227688731646902,11.583333277764421,13.608333434909582,62.744663713250105,3.0,578.0,575.0,13.433333387598395,11.583333277764421,12.508333332681408,578.0,44.0,311.0,,,,,,,251.2476806640625,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Acqui (comment Jacek: general area?),23,8.45300523,44.6916766,springs and shallow wells,,0.0162,,,,45.0,73.0,,,,,,,,118.0,3372.0,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,0.0162,-1.790484985457369,1.7708520116421442,POINT (8.45300523 44.6916766),0.29146294813996604,6.0,48.89618682861328,232.10382080078125,12.399999973674614,266.0,1754024.3906216722,6.24403562816272,,144800000.0,0.3653847615038556,0.29146294813996604,0.4393065748677452,36.540654839226534,-0.0,118.7523193359375,280.04232437458444,135.0,643.22705078125,12.349857554237685,11.012499943375587,12.916666659216087,318.42738425009895,131.0,733.0,602.0,12.399999973674614,11.012499943375587,11.7062499585251,733.0,266.0,499.5,,,,,,,454.613525390625,44241.73531787109,29974.838682128906,7133.448317871093,29974.838682128906,-29974.838682128906,29974.838682128906,0.023511949624739053,0.011583526916040173,0.0,3166431.2971843877,3082330.423783204,3250532.170585571,,,,,,,37108.287,74216.574,0.0,41663569.699794576,40556979.260305315,42770160.13928383,3641.69275600675,3593.005350998819,3689.737769272762
66,Bormio - Central Italian Alps,Arciduchessa,10.359474,46.492436,spring,,0.006670000000000001,,,,36.0,39.0,,,,,7.9,39.2,,,,20.7,213.8,,3.03,,14.2,2.46,673.0,,,,,,,,,,,,,,,,,,37.5,0.006670000000000001,-2.175874166083451,1.5740312677277188,POINT (10.359474 46.492436),0.5501185658300547,1.0,13.351622581481935,1650.6484375,3.77916670932124,1391.0,382625.13769627135,5.582773498896066,,242100000.0,0.4833225272786505,0.415067697221737,0.5401269217808766,90.8139900419788,-0.0,616.667724609375,2206.251359785681,1176.1689453125,3144.129638671875,-0.26905487967670205,-5.6208333438262335,6.879166623887915,2304.906896551724,1178.0,3317.0,2139.0,3.77916670932124,0.0,0.0,3317.0,1391.0,2354.0,,,,,,,2267.5648193359375,68667.3773458374,57356.0028541626,5655.687245837403,57356.0028541626,-57356.0028541626,57356.0028541626,0.13400335247085524,0.06024939612082367,0.0,982835.9724000001,814426.0777895618,1045847.6625000001,,,,,,,63011.69010000001,126023.38020000001,0.0,12932052.268421054,10716132.602494234,13761153.45394737,2028.891343981717,1846.9030697441456,2092.9192984163687
67,Bormio - Central Italian Alps,Zampillo dei Bambini,10.35926,46.49255,spring,,0.0025,,,,35.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,0.0025,-2.6020599913279625,1.5622928644564746,POINT (10.35926 46.49255),0.5501185658300547,1.0,13.351622581481935,1650.6484375,3.77916670932124,1391.0,143412.72027596377,5.156587673651557,,242100000.0,0.4833225272786505,0.415067697221737,0.5401269217808766,90.8139900419788,-0.0,616.667724609375,2206.251359785681,1176.1689453125,3144.129638671875,-0.26905487967670205,-5.6208333438262335,6.879166623887915,2304.906896551724,1178.0,3317.0,2139.0,3.77916670932124,0.0,0.0,3317.0,1391.0,2354.0,,,,,,,2267.5648193359375,25737.397805786135,21497.752194213866,2119.822805786133,21497.752194213866,-21497.752194213866,21497.752194213866,0.13809870515580747,0.06190006450769555,0.0,357926.05,294803.90059578774,381543.625,,,,,,,23617.575,47235.15,0.0,4709553.2894736845,3878998.6920498386,5020310.855263158,1224.3763194168962,1111.1811878237756,1264.1260130802088
68,Bormio - Central Italian Alps,Cassiodora,10.35956,46.492495,spring,,0.00417,,,,39.0,43.0,,,,,7.8,40.5,,,,30.6,219.4,,7.28,,12.78,2.4,725.0,,,,,,,,,,-13.61,-101.5,3.9,,,,,,41.0,0.00417,-2.3798639450262424,1.6127838567197357,POINT (10.35956 46.492495),0.5501185658300547,1.0,13.351622581481935,1650.6484375,3.77916670932124,1391.0,239212.41742030758,5.378783719953276,,242100000.0,0.4833225272786505,0.415067697221737,0.5401269217808766,90.8139900419788,-0.0,616.667724609375,2206.251359785681,1176.1689453125,3144.129638671875,-0.26905487967670205,-5.6208333438262335,6.879166623887915,2304.906896551724,1178.0,3317.0,2139.0,3.77916670932124,0.0,0.0,3317.0,1391.0,2354.0,,,,,,,2267.5648193359375,42929.979540051274,35858.25065994873,3535.8644400512694,35858.25065994873,-35858.25065994873,35858.25065994873,0.12140256704552066,0.05510615498855823,0.0,675482.7459,570195.000693774,714876.861,,,,,,,39394.1151,78788.2302,0.0,8887930.867105262,7502565.7986022895,9406274.486842105,1681.9976999739554,1545.361079307841,1730.3497222585395
69,Bormio - Central Italian Alps,Cinglaccia,10.358343,46.492144,spring,,0.018000000000000002,,,42.0,37.0,,,,,,7.6,39.0,,,,21.44,223.4,,3.06,,14.2,2.55,690.0,,,,,,,,,,-13.97,-95.36,,,,,,,42.0,0.018000000000000002,-1.7447274948966942,1.6232492903979006,POINT (10.358343 46.492144),0.5501185658300547,1.0,13.351622581481935,1650.6484375,3.77916670932124,1347.0,1032571.5859869393,6.013920170082826,,242100000.0,0.4833225272786505,0.415067697221737,0.5401269217808766,90.8139900419788,-0.0,616.667724609375,2206.251359785681,1176.1689453125,3144.129638671875,-0.26905487967670205,-5.6208333438262335,6.879166623887915,2304.906896551724,1178.0,3317.0,2139.0,3.77916670932124,0.0,0.0,3317.0,1347.0,2332.0,,,,,,,2245.5648193359375,189194.02420166018,158668.57579833985,15262.724201660158,158668.57579833985,-158668.57579833985,158668.57579833985,0.12092713223843901,0.05502304478101479,0.0,2987131.5000000005,2528767.264289672,3161062.8000000003,,,,,,,173931.30000000002,347862.60000000003,0.0,39304361.84210527,33273253.477495685,41592931.57894737,3537.084526059146,3254.4132385709822,3638.604308927385
70,Bormio - Central Italian Alps,Nibelunghi,10.357372,46.49282,spring,,0.00067,,,,35.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,0.00067,-3.1739251972991736,1.5563025007672873,POINT (10.357372 46.49282),0.5501185658300547,1.0,110.08182525634766,1447.918212890625,4.487499934931597,1347.0,38434.60903395829,4.584722467680344,,242100000.0,0.4833225272786505,0.415067697221737,0.5401269217808766,90.8139900419788,-0.0,616.667724609375,2206.251359785681,1176.1689453125,3144.129638671875,-0.26905487967670205,-5.6208333438262335,6.879166623887915,2304.906896551724,1178.0,3317.0,2139.0,4.487499934931597,0.0,0.0,3317.0,1347.0,2332.0,,,,,,,2245.5648193359375,7042.222011950684,5905.996988049316,568.1125119506836,5905.996988049316,-5905.996988049316,5905.996988049316,0.14666991676514607,0.06419355224451725,0.0,94378.8465,75333.13606978724,100852.956,,,,,,,6474.1095000000005,12948.219000000001,0.0,1241826.9276315789,991225.4746024638,1327012.5789473685,628.7175741096906,561.7088818980737,649.9240132270813
