location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number,Database_name
Euganei (Euganean geothermal area - Battaglia Terme),Fonte Le Bibite,45.28444444,11.77885556,,1,,48.9,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Euganei (Euganean geothermal area - Cinto Euganeo),Bagno Nord,45.28694444,11.64996667,,6,,34.6,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Euganei (Euganean geothermal area - Cinto Euganeo),Bagno Sud,45.285,11.6483,,1,,30.3,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Euganei (Euganean geothermal area - Cinto Euganeo),Fattorelle,45.29583333,11.64552222,,7,,21.2,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Acqui (comment Jacek: general area?),23,44.6916766,8.45300523,,6,,59.0,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Bormio - Central Italian Alps,Arciduchessa,46.492436,10.359474,,1,,37.5,,7.9,,13.848584414351611,,0.900400521640735,,5.334597534807126,0.40056417489421714,7.006037892983552,,,0.07749697557182793,,,,,129.48731445415308,,,,5.0,
Bormio - Central Italian Alps,Zampillo dei Bambini,46.49255,10.35926,,1,,36.5,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Bormio - Central Italian Alps,Cassiodora,46.492495,10.35956,,1,,41.0,,7.8,,15.02575235216489,,1.3310268580776086,,5.474325066121064,0.36050775740479546,7.547366229439933,,,0.18619735384914432,,,,,126.32908727234445,,,,5.0,
Bormio - Central Italian Alps,Cinglaccia,46.492144,10.358343,,1,,42.0,,7.6,,14.302782919324443,,0.9325887528491479,,5.5741304456310194,0.40056417489421714,7.1830106183635225,,,0.0782642723596678,,,,,134.22465522686596,,,,5.0,
Bormio - Central Italian Alps,Nibelunghi,46.49282,10.357372,,1,,36.0,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Bormio - Central Italian Alps,Ostrogoti,46.492916,10.357291,,1,,34.5,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Bormio - Central Italian Alps,Palestra,46.49119,10.3643,,1,,18.5,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Bormio - Central Italian Alps,Pliniana,46.490844,10.359989,,1,,37.0,,7.7,,16.01668555061721,,1.1035343591316642,,6.432456709416638,0.40056417489421714,7.838850718301062,,,0.09284291132862553,,,,,148.43667754500473,,,,5.0,
Bormio - Central Italian Alps,San Carlo,46.490823,10.36117,,1,,18.5,,7.7,,13.35609428619415,,0.8903960714002824,,5.254753231199161,0.3404795486600846,6.662502602540079,,,0.08005463153129419,,,,,127.90820086324878,,,,5.0,
Bormio - Central Italian Alps,San Martino,46.491967,10.360826,,1,,39.5,,8.5,,11.096164534916486,,0.7929614255802223,,4.276660512001596,0.3004231311706629,5.54861544867791,,,0.06854517971369599,,,,,108.95883777239708,,,,5.0,
Comano (Lomaso),Terme di Comano,46.04222222,10.8863889,,6,,27.0,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Courmayeur,Thermes de Pré Saint Didier,45.7575,6.9867,,8,,26.5,,,,1.3399153737658673,,,,,1.3399153737658673,,,,,,,,,,,,,5.0,
Craveggia (Comano),Delle Terme,46.14638889,8.519166667,,8,,27.2,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Craveggia (Comano) - Piemont,Craveggia,46.1968,8.5416,,8,,25.7,3.61,9.34,,5.4665348684641915,,2.7403494136891937,0.004114379757251594,0.45411447677029787,0.02538787023977433,1.561524047470331,0.5080567974721716,0.002881844380403458,0.03324952747306149,,,,,136.8565112117065,,,,5.0,
Dolomiti Bellunesi National Park,Fontanon,46.20346,12.02082,,6,,7.9,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Dolomiti Bellunesi National Park,Stien,46.09804000000001,11.8852,,6,,6.4,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Dolomiti Bellunesi National Park,Pian Palui,46.30727,12.15402,,6,,5.2,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Dolomiti Bellunesi National Park,Desedan,46.23795,12.25903,,6,,7.4,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Dolomiti Bellunesi National Park,Grotta Guernica,46.24898,12.21316,,6,,5.8,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Dolomiti Bellunesi National Park,Casera Maiolera,46.19984,12.21544,,6,,8.0,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Dolomiti Bellunesi National Park,Val Lovatel,46.20199,11.9727,,8,,6.2,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Dolomiti Bellunesi National Park,Pian Fontana,46.26364,12.1707,,6,,5.5,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Dolomiti Bellunesi National Park,Val Balanzola,46.29705,12.15361,,6,,5.0,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Dolomiti Bellunesi National Park,Acqua della Madonna,46.31316,12.15865,,6,,5.8,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Dolomiti Bellunesi National Park,Limnocrena Vallalta,46.20013,11.96932,,8,,8.2,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Masino - Lombardie,Masino,46.24352,9.72534,,9,,37.9,5.91,8.65,,8.966327009049225,,4.610746632556421,0.002057189878625797,0.7435500773491691,0.6629055007052186,2.3943368727878407,0.45889001062002593,0.004322766570605187,0.08951795858131939,,,,,,,,,5.0,
Pre-St. Didier (San Desiderio) - Aoste Valley,Pre-Saint-Didier,45.76189,6.9689,,8,,22.3,8.0,7.6,,14.640311126319714,,2.3401714040710893,1.0944250154289241,2.919307350666201,0.9873060648801127,1.7697272537997084,5.424735482686735,0.010086455331412104,0.07928733474345431,,,,,15.264764712074953,,,,5.0,
Bergamo - San Pellegrino Terme,San Pellegrino,45.85138889,9.662777778,,6,,27.0,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Bergamo - San Pellegrino Terme,Pracastello,45.85138889,9.662777778,,6,,21.7,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Bergamo - San Pellegrino Terme,Bracca,45.85138889,9.662777778,,6,,18.5,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Simplon,Q6,46.26274,8.10919,1650.0,8,,29.2,12.37,,,19.734878126284844,,0.09134498045630646,1.2343139271754784,7.90957632616398,0.014104372355430182,8.671663543618571,1.7372264687758125,,0.061383743027190435,,,,,15.264764712074953,,,,5.0,
Simplon,Q7,46.26274,8.10919,1650.0,8,,38.6,15.11,7.5,,29.124297560216597,,0.31753255111001766,1.440032915038058,12.276061679724537,0.014104372355430182,13.30418488444722,1.6880596819236668,,0.06905671090558925,,,,,15.264764712074953,,,,5.0,
Sirmione (Lago di Garda),Fonte Boiola,45.500093,10.609565,,11,,69.9,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Valdieri,Terme II-2,44.20638889,7.269966667,,8,,63.0,,9.19,,6.552209353747755,,3.140527423307298,0.0009874511417403828,0.1222615898996956,0.9393511988716501,0.6402248594628357,0.9505578791414823,0.024495677233429394,0.10742155029758327,,,,,626.3817243920412,,,,5.0,
Valdieri,Terme II-3B,44.20638889,7.269966667,,8,,46.8,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Valdieri,Terme II-3D,44.20638889,7.269966667,,8,,60.4,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Valdieri,Terme II-4,44.20638889,7.269966667,,8,,55.4,,9.23,,7.14445453066693,,3.588552803640611,0.0002057189878625797,0.09980537950995558,0.8998589562764456,0.6495940037476576,1.0800304178521325,0.03170028818443804,0.09463327050025193,,,,,700.0736919675755,,,,5.0,
Valdieri,Terme II-1D,44.20638889,7.268888888999999,,8,,48.8,,9.1,,6.538282353022583,,3.61030160851116,0.004114379757251594,0.07485403463246669,1.0719322990126938,0.8640433062669165,0.8030575185850454,,0.10997920625704953,,,,,,,,,5.0,
Vinadio,Bagni I-1A,44.28861111,7.077744444,,8,,46.7,,8.47,,58.17408362204393,,25.31560886931922,0.00781732153877803,1.3798093717251358,29.055007052186177,0.29981261711430357,0.5703347274848893,0.28242074927953886,0.7263742924884201,,,,,536.8986209074639,,,,5.0,
Vinadio,Bagni I-1B,44.28861111,7.076666667,,8,,49.5,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Vinadio,Bagni I-1D,44.28861111,7.077744444,,8,,50.5,,8.2,,56.95289770832627,,25.31560886931922,0.016457519029006377,1.6966914516692448,28.152327221438643,0.49968769519050593,0.3769453658664499,,0.8951795858131939,,,,,,,,,5.0,
Vinadio,Bagni I-2A,44.28861111,7.077744444,,8,,55.2,,8.87,,21.078092391750527,,9.83045980148822,0.0005348693684427072,0.1671740106791756,8.49083215796897,0.3497813866333542,1.119363847333849,0.09942363112391929,0.2941304353386208,,,,,726.3922518159807,,,,5.0,
Vinadio,Bagni I-2B,44.28861111,7.077744444,,8,,55.6,,8.51,,20.47751439115321,,9.917455020970415,0.0023863402592059248,0.15968860721592892,7.5035260930888565,0.29981261711430357,1.4405868547678673,0.09654178674351585,0.2890151234196883,,,,,768.5019475734288,,,,5.0,
Vinadio,Bagni I-3A,44.28861111,7.077744444,,8,,61.2,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Vinadio,Bagni I-3B,44.28861111,7.077744444,,8,,58.0,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Acqui Terme,Acqua Tiepida ,44.66305556,8.4733,,6,,38.2,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Acqui Terme,La Bollente,44.67527778,8.480555556,,1,,70.5,,8.4,,74.13125780020164,,33.406164281163505,0.09051635465953509,3.318528868706023,33.25811001410437,2.9460753695606914,0.6719460869793237,,0.4399168250281981,,,,,,,,,5.0,
Acqui Terme,Lago d. Sorgenti,44.66305556,8.4733,,6,,56.0,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
Acqui Terme,La Bolente,44.7,8.466666667,,6,,69.5,,8.04,,67.85252967258857,,28.925910477830378,0.006583007611602551,3.3684315584610007,31.875881523272213,2.3943368727878407,0.3769453658664499,0.18587896253602304,0.36062949028474384,,,,,357.93241393830925,,,,5.0,
Acqui Terme,28,44.6333333,8.466666667,,6,,17.4,,7.46,,10.568668635230129,,1.526766101912551,0.4772680518411849,2.1832426767802784,0.21128349788434414,0.7599417031022278,5.162512619475292,0.004610951008645533,0.11611758055976858,,,,,,0.1269254526658377,,,5.0,
Acqui Terme,29,44.6333333,8.466666667,,6,,18.7,,7.58,,11.656229759124498,,1.752953672566262,1.5264348899403415,1.2400818404111982,0.12750352609308885,0.4840724547158026,6.408071219729647,0.0053314121037463975,0.08516994345022673,,,,,,0.026610800114184523,,,5.0,
Acqui Terme,31,44.6666667,8.483333333,,6,,30.1,,7.38,,23.187730304961207,,8.177550631326483,1.6457519029006378,1.1677229402664802,1.3483779971791254,2.8419737663960025,7.801130180540441,0.01440922190201729,0.1314635163165662,,,,,,0.059350148133453975,,,5.0,
Acqui Terme,40,44.5833333,8.45,,6,,13.7,,7.55,,10.523378665040575,,0.18138503262037997,0.983336761983131,2.594939867258845,0.31311706629055003,0.5413283364563815,5.703347274848894,0.001296829971181556,0.05447807193663151,,,,,,0.15014942367458056,,,5.0,
Acqui Terme,44,44.6833333,8.5,,1,,37.9,,8.73,,48.365985362474234,,21.792302480290257,0.009463073441678668,1.9636708418583761,21.6361071932299,1.7801374141161774,0.4261121527185955,0.13256484149855907,0.22558525562492487,,,,,400.0421096957574,,,,5.0,
Acqui Terme,46,44.6833333,8.5,,1,,32.0,,8.62,,12.243179089149313,,6.176660583235961,0.005760131660152232,0.18214481760566892,2.2708039492242595,0.8130335207162189,2.081393976740832,0.03314121037463977,0.048595463229859095,,,,,631.6454363617222,,,,5.0,
Acqui Terme,47,44.6833333,8.5,,1,,23.0,,7.67,,58.49074833941777,,24.402159064756155,0.17362682575601726,3.318528868706023,26.17771509167842,2.0403914220278994,1.6552818240222364,0.1585014409221902,0.31714933897381725,,,,,247.39446257500788,,,,5.0,
Acqui Terme,50,44.3572222,8.445277778,,4,,14.5,,8.55,,12.440070748156648,,4.91522990074411,0.6583007611602552,0.24951344877488896,0.310296191819464,0.26129502394336873,5.949181209109622,0.01440922190201729,0.08184499070292059,,,,,,,,,5.0,
Acqui Terme,La Bolente,44.7,8.466666667,,6,,69.5,,8.16,,67.34466944356441,,28.751920038865986,0.005760131660152232,3.3933829033384897,31.593794076163608,2.2902352696231523,0.45889001062002593,0.18731988472622477,0.35807183432527756,,,,,305.2952942414991,,,,5.0,
Acqui Terme,44b,44.6833333,8.5,,1,,31.5,,8.65,,48.236231356871414,,21.48781921210257,0.009051635465953507,2.0410200109785914,21.7771509167842,1.7384967728503018,0.47527893957074113,0.13544668587896252,0.22456219324113832,,,,,347.4049899989472,,,,5.0,
Lomaso,Terme di Comano,46.042222,10.886389,,6,,27.0,,,,0.0,,,,,,,,,,,,,,,,,,5.0,
