location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number,Database_name
Euganei (Euganean geothermal area - Battaglia Terme),Fonte Le Bibite,45.28444444,11.77885556,,1,,48.9,,,,,,,,,,,,,,,,,,,,,,5.0,
Euganei (Euganean geothermal area - Cinto Euganeo),Bagno Nord,45.28694444,11.64996667,,6,,34.6,,,,,,,,,,,,,,,,,,,,,,5.0,
Euganei (Euganean geothermal area - Cinto Euganeo),Bagno Sud,45.285,11.6483,,1,,30.3,,,,,,,,,,,,,,,,,,,,,,5.0,
Euganei (Euganean geothermal area - Cinto Euganeo),Fattorelle,45.29583333,11.64552222,,7,,21.2,,,,,,,,,,,,,,,,,,,,,,5.0,
Acqui (comment Jacek: general area?),23,44.6916766,8.45300523,,6,,59.0,,,,,,,,,,,,,,,,,,,,,,5.0,
Bormio - Central Italian Alps,Arciduchessa,46.492436,10.359474,,1,,37.5,,7.9,,,,20.7,,213.8,14.2,673.0,,,3.03,,,,,2.46,,,,5.0,
Bormio - Central Italian Alps,Zampillo dei Bambini,46.49255,10.35926,,1,,36.5,,,,,,,,,,,,,,,,,,,,,,5.0,
Bormio - Central Italian Alps,Cassiodora,46.492495,10.35956,,1,,41.0,,7.8,,,,30.6,,219.4,12.78,725.0,,,7.28,,,,,2.4,,,,5.0,
Bormio - Central Italian Alps,Cinglaccia,46.492144,10.358343,,1,,42.0,,7.6,,,,21.44,,223.4,14.2,690.0,,,3.06,,,,,2.55,,,,5.0,
Bormio - Central Italian Alps,Nibelunghi,46.49282,10.357372,,1,,36.0,,,,,,,,,,,,,,,,,,,,,,5.0,
Bormio - Central Italian Alps,Ostrogoti,46.492916,10.357291,,1,,34.5,,,,,,,,,,,,,,,,,,,,,,5.0,
Bormio - Central Italian Alps,Palestra,46.49119,10.3643,,1,,18.5,,,,,,,,,,,,,,,,,,,,,,5.0,
Bormio - Central Italian Alps,Pliniana,46.490844,10.359989,,1,,37.0,,7.7,,,,25.37,,257.8,14.2,753.0,,,3.63,,,,,2.82,,,,5.0,
Bormio - Central Italian Alps,San Carlo,46.490823,10.36117,,1,,18.5,,7.7,,,,20.47,,210.6,12.07,640.0,,,3.13,,,,,2.43,,,,5.0,
Bormio - Central Italian Alps,San Martino,46.491967,10.360826,,1,,39.5,,8.5,,,,18.23,,171.4,10.65,533.0,,,2.68,,,,,2.07,,,,5.0,
Comano (Lomaso),Terme di Comano,46.04222222,10.8863889,,6,,27.0,,,,,,,,,,,,,,,,,,,,,,5.0,
Courmayeur,Thermes de Pré Saint Didier,45.7575,6.9867,,8,,26.5,,,,,,,,,47.5,,,,,,,,,,,,,5.0,
Craveggia (Comano),Delle Terme,46.14638889,8.519166667,,8,,27.2,,,,,,,,,,,,,,,,,,,,,,5.0,
Craveggia (Comano) - Piemont,Craveggia,46.1968,8.5416,,8,,25.7,3.61,9.34,,,,63.0,0.1,18.2,0.9,150.0,31.0,0.02,1.3,,,,,2.6,,,,5.0,
Dolomiti Bellunesi National Park,Fontanon,46.20346,12.02082,,6,,7.9,,,,,,,,,,,,,,,,,,,,,,5.0,
Dolomiti Bellunesi National Park,Stien,46.09804000000001,11.8852,,6,,6.4,,,,,,,,,,,,,,,,,,,,,,5.0,
Dolomiti Bellunesi National Park,Pian Palui,46.30727,12.15402,,6,,5.2,,,,,,,,,,,,,,,,,,,,,,5.0,
Dolomiti Bellunesi National Park,Desedan,46.23795,12.25903,,6,,7.4,,,,,,,,,,,,,,,,,,,,,,5.0,
Dolomiti Bellunesi National Park,Grotta Guernica,46.24898,12.21316,,6,,5.8,,,,,,,,,,,,,,,,,,,,,,5.0,
Dolomiti Bellunesi National Park,Casera Maiolera,46.19984,12.21544,,6,,8.0,,,,,,,,,,,,,,,,,,,,,,5.0,
Dolomiti Bellunesi National Park,Val Lovatel,46.20199,11.9727,,8,,6.2,,,,,,,,,,,,,,,,,,,,,,5.0,
Dolomiti Bellunesi National Park,Pian Fontana,46.26364,12.1707,,6,,5.5,,,,,,,,,,,,,,,,,,,,,,5.0,
Dolomiti Bellunesi National Park,Val Balanzola,46.29705,12.15361,,6,,5.0,,,,,,,,,,,,,,,,,,,,,,5.0,
