location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number
Daly,RN007807,-14.444255748,132.285449884,,,,,,,,,,7,45,101,5,17,524.74448,,1.1,,,,,,,,,9
Daly,RN007821,-14.54653,132.395,,,,,,,,,,3.5,34.8,106,3,1.4,445.42264,,2.2,,,,,,,,,9
Daly,RN007838,-14.710453,132.059519,,,,,,,,,,15.5,31.2,74.1,15.1,29.1,402.71088,,6.8,,,,,,,,,9
Daly,RN007838,-14.710453,132.059519,,,,,,,,,,16.4,31.2,No data,13,24.2,341.69408,,7.1,,,,,,,,,9
Daly,RN008236,-14.57557,132.4713,,,,,,,,,,1.8,30.6,111,1.1,0.3,512.5411200000001,,0.7,,,,,,,,,9
Daly,RN021098,-14.48369,132.247,,,,,,,,,,7,47,83,9,15,482.03272000000004,,3,,,,,,,,,9
Daly,RN021694,-14.457564171,132.2414534,,,,,,,,,,4,30,73,1,12,366.10080000000005,,<1,,,,,,,,,9
Daly,RN022006,-14.5679,132.5053,,,,,,,,,,4.2,28,82.4,5.8,0.6,408.81256,,1.1,,,,,,,,,9
Daly,RN022286,-14.454347743,132.213009476,,,,,,,,,,4,29,90,2,13,421.01592000000005,,1.5,,,,,,,,,9
Daly,RN022391,-14.41105,132.2043,,,,,,,,,,6.7,24.5,No data,8.1,0.6,366.10080000000005,,1.8,,,,,,,,,9
Daly,RN022394,-14.50392779,132.295794198,,,,,,,,,,4.1,38.3,89.1,4.5,1.8,463.72768,,2.5,,,,,,,,,9
