location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number
"Bahun Danda, Lamjung",S1,28.34135,84.40621,,,,47.1,16270,7.5,,148.6403639316837,,16.094115604206376,4.998971405060687,9.092270073356953,111.80930888575458,0.09577347491151363,2.840693055027468,,3.4963156965903885,,,0.10289193302891934,,84.21939151489632,0.02580441223193651,,,11
"Jagat, Lamjung",S2,28.41303,84.40649,,,,36.6,2439,7.7,,24.093055012951663,,6.385449109993233,0.3990948364534046,1.0978591746095114,14.525246826516218,0.027066416822819073,1.2018001599559465,,0.3376105866495474,,,0.014504431909750202,,94.74681545425834,0.00967665458697619,,,11
"Chame, Manang",S3,28.55369,84.25097,,,,57.0,3390,8.0,,33.87702258363016,,7.351096046245615,0.3003497222793664,2.3978242427266827,21.481241184767274,0.037476577139287946,1.311114316057217,,0.8542570904617336,,,0.0035813412122840007,,136.8565112117065,0.003225551528992064,,,11
"Bhurjung Khola, Kaski",S4,28.30561,83.9489,,,,31.6,7040,7.8,,59.036364329548775,,12.201079532378078,2.1970787903723514,1.4995758271370827,33.40507757404795,0.2592129918800749,8.030575185850454,,1.268597355895269,,,0.021846181394932402,,121.06537530266343,0.032255515289920635,,,11
"Annapurna I, Kaski",S5,28.42176,83.82062,,,,40.1,822,7.3,,10.275681755566467,,1.8660474578931177,1.197284509360214,2.797045760766505,0.9754583921015514,0.09265042681657297,3.1466743585373207,,0.19693950887890266,,,0.0035813412122840007,,,,,,11
"Annapurna II, Myagdi",S6,28.4594,83.62718,,,,53.9,602,8.2,,6.487427149531824,,2.7186006088186447,0.07817321538778028,0.5189879734517691,1.6076163610719323,0.023943368727878406,1.311114316057217,,0.14322873373011102,,,0.0035813412122840007,,78.95567954521528,0.003225551528992064,,,11
"Ratopani, Myagdi",S7,28.47828,83.64129,,,,54.4,403,8.2,,5.374234372151618,,1.3266770971034987,0.3990948364534046,0.7185987324716802,0.9754583921015514,0.013533208411409536,1.770004326677243,,0.13044045393277967,,,0.0035813412122840007,,36.845983787767125,,,,11
"Bhurung, Myagdi",S8,28.49626,83.65428,,,,62.8,2353,8.2,,24.419570553979792,,5.619891178549902,0.7981896729068092,2.098408104196816,11.634696755994357,0.054132833645638145,3.11389650063589,,1.0077164480297096,,,0.0035813412122840007,,84.21939151489632,0.004838327293488095,,,11
"Serkaku, Myagdi",S9,28.45786,83.62614,,,,64.3,10330,7.4,,34.45472074507837,,14.075826512219415,1.6004937255708702,5.095064623983232,6.477291960507757,0.23110555902560898,5.135143108127597,,1.7929168275858538,,,0.0035813412122840007,,36.845983787767125,0.006451103057984128,,,11
"Darmija (Raghuganga-Kunda), Myagdi",S10,28.45316,83.51419,,,,52.7,208,8.0,,2.976222175456678,,0.3436311169546767,0.23863402592059246,0.5189879734517691,0.7946403385049365,,1.0051330125473639,,0.07161436686505551,,,0.0035813412122840007,,,,,,11
"Raghuganga-Kunda, Myagdi",S11,28.45316,83.51419,,,,47.9,206,8.1,,3.0466111374871585,,0.4567249022815323,0.3003497222793664,0.3992215180398223,0.7946403385049365,,1.0051330125473639,,0.08696030262185311,,,0.0035813412122840007,,,,,,11
"Singa, Myagdi",S12,28.36776,83.5025,,,,52.5,2762,8.8,,29.0086298900445,,7.933964016776333,0.7981896729068092,0.19961075901991115,12.718758815232722,0.037476577139287946,6.391682290778933,,0.8235652189481384,,,0.005372011818426,,100.01052742393935,,,,11
