location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number,Database_name
"Bahun Danda, Lamjung",S1,28.34135,84.40621,,,,47.1,16270,7.5,,,,370.0,121.5,364.4,3963.64,9.2,173.33,,136.7,,,5.746,,1.6,1.6,,,11,
"Jagat, Lamjung",S2,28.41303,84.40649,,,,36.6,2439,7.7,,,,146.8,9.7,44.0,514.92,2.6,73.33,,13.2,,,0.810,,1.8,0.6,,,11,
"Chame, Manang",S3,28.55369,84.25097,,,,57.0,3390,8.0,,,,169.0,7.3,96.1,761.51,3.6,80.0,,33.4,,,<0.2,,2.6,0.2,,,11,
"Bhurjung Khola, Kaski",S4,28.30561,83.9489,,,,31.6,7040,7.8,,,,280.5,53.4,60.1,1184.21,24.9,490.0,,49.6,,,1.220,,2.3,2,,,11,
"Annapurna I, Kaski",S5,28.42176,83.82062,,,,40.1,822,7.3,,,,42.9,29.1,112.1,34.58,8.9,192.0,,7.7,,,<0.2,,ND,ND,,,11,
"Annapurna II, Myagdi",S6,28.4594,83.62718,,,,53.9,602,8.2,,,,62.5,1.9,20.8,56.99,2.3,80.0,,5.6,,,<0.2,,1.5,0.2,,,11,
"Ratopani, Myagdi",S7,28.47828,83.64129,,,,54.4,403,8.2,,,,30.5,9.7,28.8,34.58,1.3,108.0,,5.1,,,<0.2,,0.7,ND,,,11,
"Bhurung, Myagdi",S8,28.49626,83.65428,,,,62.8,2353,8.2,,,,129.2,19.4,84.1,412.45,5.2,190.0,,39.4,,,<0.2,,1.6,0.3,,,11,
"Serkaku, Myagdi",S9,28.45786,83.62614,,,,64.3,10330,7.4,,,,323.6,38.9,204.2,229.62,22.2,313.33,,70.1,,,<0.2,,0.7,0.4,,,11,
"Darmija (Raghuganga-Kunda), Myagdi",S10,28.45316,83.51419,,,,52.7,208,8.0,,,,7.9,5.8,20.8,28.17,ND,61.33,,2.8,,,<0.2,,ND,ND,,,11,
"Raghuganga-Kunda, Myagdi",S11,28.45316,83.51419,,,,47.9,206,8.1,,,,10.5,7.3,16.0,28.17,ND,61.33,,3.4,,,<0.2,,ND,ND,,,11,
"Singa, Myagdi",S12,28.36776,83.5025,,,,52.5,2762,8.8,,,,182.4,19.4,8.0,450.88,3.6,390.0,,32.2,,,0.3,,1.9,ND,,,11,
