location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number,Database_name
,W1,31.79,100.25,,Metamorphic Rock,,10,1666,7.78,,21.089127393930145,,2.9756714823885355,1.772392511828842,6.778182544039123,0.025726375176304654,0.2763793462419321,9.233817440442632,,0.026957693812774467,,,,,,,,,10.0,
,W1,31.79,100.25,,Metamorphic Rock,,9.8,1550,6.67,,30.175357146452757,,3.627918140456305,2.0204484673935403,5.863191776036729,0.3119887165021156,0.21970643347907556,17.947057203917606,,0.1850464086673845,,,,,,,,,10.0,
,W1,31.79,100.25,,Metamorphic Rock,,11.29,30400,7.04,,23.526523428843497,,2.9595773667843295,1.698498251388603,5.1003044064075045,0.2664033850493653,0.23190714136997712,13.118087149768586,,0.1517457280751337,,,,,,,,,10.0,
,W2,31.76,100.29,,Metamorphic Rock,,25,644,8.11,,3.800171659854208,,0.11957492917827926,0.381979016663238,0.8373172313987723,0.008716502115655852,0.04787632729544035,2.395244326152797,,0.009463327050025193,,,,,,,,,10.0,
,W3,31.58,100.43,,Metamorphic Rock,,26.2,1549,7.58,,9.284507592562823,,0.5870002434561217,0.8871837070561612,2.144717800289435,0.02031029619181946,0.23740370601707264,5.378606678816325,,0.02928516073588877,,,,,,,,,10.0,
,W,,,,Metamorphic Rock,,26,562,7.41,,9.156566566862834,,0.6729950179142731,0.8610162518000412,2.0757023803583015,0.048321579689703804,0.21755153029356653,5.234558351142636,,0.046421455664312765,,,,,,,,,10.0,
,W4,31.54,100.46,,Metamorphic Rock,,11,—,7.26,,43.67995747258725,,19.5208572996101,0.734211067681547,1.8014371974649435,0.09571227080394921,0.05961898813241724,21.1829420094138,,0.28517863948048894,,,,,,,,,10.0,
,W4,31.54,100.46,,Metamorphic Rock,,10.5,1970,7.3,,40.75096193078116,,18.856387813205085,0.7611191112939724,1.7729427616148508,0.08346967559943581,0.11264834478450968,18.89279673794758,,0.271597486335723,,,,,,,,,10.0,
,W4,31.54,100.46,,Metamorphic Rock,,11.3,44600,7.71,,43.15379554873063,,19.53582047736104,0.5825550298292532,1.6047457457956982,0.08716502115655853,0.003206329377472413,21.046223662991174,,0.2940792822194315,,,,,,,,,10.0,
,W5,31.58,100.72,,Metamorphic Rock,,13,1410,8.68,,34.09802421490964,,13.342674300033202,1.1050401152026332,1.2781326413493683,0.03638928067700987,0.049958359358734106,17.849084186650234,,0.43674533163845997,,,,,,,,,10.0,
