location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number,Database_name
,W1,31.79,100.25,,,,10,1666,7.78,,,,68.41,43.078,271.656,0.912,26.549,563.417992,,1.054,,,,,,,,,10.0,
,W1,31.79,100.25,,,,9.8,1550,6.67,,,,83.405,49.107,234.985,11.06,21.105,1095.072,,7.235,,,,,,,,,10.0,
,W1,31.79,100.25,,,,11.29,30400,7.04,,,,68.04,41.282,204.41,9.444,22.277,800.4236999999999,,5.933000000000001,,,,,,,,,10.0,
,W2,31.76,100.29,,,,25,644,8.11,,,,2.749,9.284,33.558,0.309,4.599,146.150144,,0.37,,,,,,,,,10.0,
,W3,31.58,100.43,,,,26.2,1549,7.58,,,,13.495,21.563,85.95599999999999,0.72,22.805,328.185368,,1.145,,,,,,,,,10.0,
,W,,,,,,26,562,7.41,,,,15.472,20.927,83.19000000000001,1.713,20.898,319.396,,1.815,,,,,,,,,10.0,
,W4,31.54,100.46,,,,11,—,7.26,,,,448.78,17.845,72.19800000000001,3.393,5.727,1292.515336,,11.15,,,,,,,,,10.0,
,W4,31.54,100.46,,,,10.5,1970,7.3,,,,433.504,18.499,71.056,2.959,10.821,1152.778,,10.619,,,,,,,,,10.0,
,W4,31.54,100.46,,,,11.3,44600,7.71,,,,449.124,14.159,64.315,3.09,0.308,1284.17322,,11.498,,,,,,,,,10.0,
,W5,31.58,100.72,,,,13,1410,8.68,,,,306.745,26.858,51.22499999999999,1.29,4.798999999999999,1089.094,,17.076,,,,,,,,,10.0,
,W5,31.58,100.72,,,,19.7,—,6.54,,,,372.217,55.134,191.398,1.696,3.961,1586.772992,,24.103,,,,,,,,,10.0,
,W6,31.27,100.8,,,,37.5,2613,6.85,,,,607.07,21.81,11.3,6.09,12.25,1399.5991,,12.68,,,,,,,,,10.0,
,W6,31.27,100.8,,,,37.2,2672,8.64,,,,619.72,22.19,11.364,5.73,11.62,1524.39,,13.13,,,,,,,,,10.0,
,W6,31.27,100.8,,,,33.2,3430,9.95,,,,593.59,21.82,10.33,6.11,11.6,1424.29,,12.63,,,,,,,,,10.0,
,W6,31.27,100.8,,,,28.2,3020,8.81,,,,619.91,21.31,10.01,5.95,12.35,1573.76,,12.63,,,,,,,,,10.0,
,W6,31.27,100.8,,,,45.5,3010,9.98,,,,876.182922395,12.814611996,2.71971469,5.249042479596,,2007.1074,,16.976746276,,,,,,,,,10.0,
,W6,31.27,100.8,,,,31.5,2407,8.27,,,,618.240735924,25.420877335,10.179668466,4.8414312,4.4519625,1778.76,,13.141785222,,,,,,,,,10.0,
,W6,31.27,100.8,,,,—,—,—,,,,660.006280435483,12.5885406349103,7.72480260149383,6.5529,1.8355,2009.561,,16.6033074654453,,,,,,,,,10.0,
,W7,31.33,100.9,,,,39.9,—,6.97,,,,402.443,19.07,147.036,1.202,12.518,1399.51812,,11.68,,,,,,,,,10.0,
,W7,31.33,100.9,,,,38.3,44600,7.58,,,,396.857,11.889,140.379,1.422,11.598,1322.62152,,11.683,,,,,,,,,10.0,
,W8,31.17,100.92,,,,14.5,1600,9.61,,,,301.027,101.86,112.088,1.518,5.401,1581.9435,,11.417,,,,,,,,,10.0,
,W8,31.17,100.92,,,,16.5,—,6.62,,,,295.613,110.321,271.437,1.373,4.648,1817.08996,,11.145,,,,,,,,,10.0,
,W8,31.17,100.92,,,,15.5,2570,6.79,,,,287.125,102.617,256.839,1.69,3.856,2058.628,,10.919,,,,,,,,,10.0,
,W8,31.17,100.92,,,,15.89,52600,7.3,,,,270.155,90.46799999999999,273.554,1.133,4.18,1602.94458,,10.596,,,,,,,,,10.0,
,W9,31.08,101.01,,,,15.6,—,6.89,,,,81.69600000000001,222.426,214.31,1.051,128.755,1536.53388,,7.907999999999999,,,,,,,,,10.0,
,W9,31.08,101.01,,,,14.3,2510,7.16,,,,79.572,220.507,268.481,1.325,136.703,1560.746,,7.765,,,,,,,,,10.0,
,W9,31.08,101.01,,,,14.3,53300,7.46,,,,77.64,218.725,281.09,1.536,156.69,1567.99158,,7.792,,,,,,,,,10.0,
,W10,31.07,101.02,,,,15.3,57600,7.71,,,,31.22,440.353,51.493,0.8540000000000001,688.863,1320.52434,,6.806,,,,,,,,,10.0,
,W11,31.01,101.08,,,,12.6,—,6.79,,,,16.57,46.753,286.589,1.803,7.331,916.0482239999999,,0.794,,,,,,,,,10.0,
,W11,31.01,101.08,,,,12.9,1430,6.98,,,,16.835,43.978,275.009,2.44,6.856,932.0189999999999,,1.183,,,,,,,,,10.0,
,W11,31.01,101.08,,,,13.19,29600,7.46,,,,15.121,23.172,265.942,1.586,6.474,985.6745999999999,,1.208,,,,,,,,,10.0,
,W12,31.06,101.1,,,,51.6,2100,9.8,,,,494.378215234929,10.5746002070864,9.09469303243883,2.0577,22.3224,1557.696,,15.5652574783566,,,,,,,,,10.0,
,W12,31.06,101.1,,,,55,2400,7.21,,,,540.4010000000001,12.494,18.85,1.73,20.314,1532.699,,16.641,,,,,,,,,10.0,
,W12,31.06,101.1,,,,52.3,2010,9.86,,,,538.619,14.156,37.238,2.308,27.912,1509.567,,15.543,,,,,,,,,10.0,
,W12,31.06,101.1,,,,52,—,7.21,,,,551.7909999999999,13.797,41.63800000000001,1.73,21.654,1395.603384,,16.707,,,,,,,,,10.0,
,W12,31.06,101.1,,,,52,2160,7.4,,,,530.293,13.379,40.305,1.919,19.598,1316.502,,15.843,,,,,,,,,10.0,
,W13,31.18,101.17,,,,51.5,880,9.45,,,,183.560762233806,11.3375991530815,22.4223254843322,8.6262,6.0867,692.756,,10.7594705010941,,,,,,,,,10.0,
,W13,31.18,101.17,,,,51.2,1223,7.59,,,,189.444,12.286,6.576,6.898999999999999,4.812,655.284,,11.546,,,,,,,,,10.0,
,W14,31.28,101.18,,,,35.4,1080,9.37,,,,213.264242178457,21.8189439334352,58.9449104284771,19.1937,5.1319,942.122,,19.3027866646733,,,,,,,,,10.0,
,W14,31.28,101.18,,,,36.6,1603,7.21,,,,224.145,24.488,5.75,17.783,8.171000000000001,900.57,,20.074,,,,,,,,,10.0,
,W15,31.14,101.18,,,,53,738,9.35,,,,179.533228402099,9.2619594277728,25.4541344080948,8.8384,8.7898,650.601,,11.8249821280528,,,,,,,,,10.0,
,W15,31.14,101.18,,,,54.6,839,8.18,,,,153.556,9.804,6.664,6.702,6.685,634.23,,11.537,,,,,,,,,10.0,
,W16,30.95,101.24,,,,46,3120,9.87,,,,854.0,14.0,8.5,6.5529,1.8355,2256.68,,17.5,,,,,,,,,10.0,
,W16,30.95,101.24,,,,44.5,—,8.31,,,,844.652772026,13.29837607,9.427668426,5.9862364,2.1435375,2266.76,,17.074213769,,,,,,,,,10.0,
,W16,30.95,101.24,,,,43.4,3450,7.82,,,,845.8969999999999,13.898,4.978,5.643000000000001,1.808,2588.79,,18.12,,,,,,,,,10.0,
,W16,30.95,101.24,,,,46.6,3100,8.7,,,,839.0,15.708,91.214,9.088000000000001,2.524,2546.9635,,17.87,,,,,,,,,10.0,
,W16,30.95,101.24,,,,42.8,—,7.26,,,,891.152,15.555,98.559,6.501,1.989,2307.084416,,18.35,,,,,,,,,10.0,
,W16,30.95,101.24,,,,42.7,3420,7.66,,,,859.674,14.747,87.834,6.679,1.752,2098.217,,16.049,,,,,,,,,10.0,
,W17,30.95,101.24,,,,44.5,1223,6.69,,,,221.8,26.65,18.3,8.85,10.09,719.86925,,6.47,,,,,,,,,10.0,
,W17,30.95,101.24,,,,55,1226,7.91,,,,205.03,26.11,18.9,8.279,9.776,650.414,,6.926,,,,,,,,,10.0,
,W17,30.95,101.24,,,,42.5,946,9.34,,,,198.93,25.73,17.43,8.39,9.33,634.33,,6.67,,,,,,,,,10.0,
,W17,30.95,101.24,,,,43.2,1177,8.66,,,,176.77,25.93,18.84,8.53,9.63,671.47,,6.48,,,,,,,,,10.0,
,W17,30.95,101.24,,,,40.6,958,9.55,,,,227.774630136,25.59315024,20.252087535,8.039595396318,4.179888672768,681.5164,,8.167477332,,,,,,,,,10.0,
,W17,30.95,101.24,,,,44,1188,8.48,,,,259.59925453,17.810111585,17.754295284,10.8290192,0.0,351.36,,9.206696933,,,,,,,,,10.0,
,W17,30.95,101.24,,,,45.5,1323,7.66,,,,239.722,20.718,8.223,9.22,4.354,823.759,,9.486,,,,,,,,,10.0,
,W17,30.95,101.24,,,,46.4,1150,9.33,,,,280.491,18.152,36.471,15.385,3.29,851.2855000000001,,10.021,,,,,,,,,10.0,
,W17,30.95,101.24,,,,41,—,7.34,,,,266.511,18.993,69.045,11.461,3.298,807.740528,,9.620999999999999,,,,,,,,,10.0,
,W17,30.95,101.24,,,,45.6,1480,7.63,,,,293.866,16.082,64.565,11.618,2.239,831.3689999999999,,10.773,,,,,,,,,10.0,
,W17,30.95,101.24,,,,43.9,30200,7.99,,,,267.166,12.3,68.73700000000001,10.482,0.602,775.9565999999999,,9.23,,,,,,,,,10.0,
,W18,30.95,101.24,,,,37.8,1506,6.57,,,,310.06,8.23,11.0,13.83,6.83,820.2136,,7.16,,,,,,,,,10.0,
,W18,30.95,101.24,,,,42.5,1362,8.15,,,,288.86,7.904,11.687,13.016,6.808,860.745,,6.961,,,,,,,,,10.0,
,W18,30.95,101.24,,,,39.2,124,9.78,,,,280.27,7.8,11.28,13.27,6.61,836.33,,6.9,,,,,,,,,10.0,
,W18,30.95,101.24,,,,36.5,1515,8.51,,,,281.7,7.85,11.16,12.98,6.56,815.75,,6.83,,,,,,,,,10.0,
,W18,30.95,101.24,,,,37.4,1200,9.57,,,,303.453234528,10.90869588,7.008674885,11.738373021192,1.067315323104,756.0218,,11.651391204,,,,,,,,,10.0,
,W18,30.95,101.24,,,,34.7,1220,8.49,,,,287.306077366,11.070330145,13.141555416,13.522758,0.0,361.12,,11.196183949,,,,,,,,,10.0,
,W18,30.95,101.24,,,,38.7,1305,8.27,,,,286.169,10.894,10.067,15.21,2.486,879.45,,12.302,,,,,,,,,10.0,
,W18,30.95,101.24,,,,38,1160,9.34,,,,295.381,11.889,78.501,18.144,0.376,989.1455,,11.254,,,,,,,,,10.0,
,W18,30.95,101.24,,,,39.6,—,6.69,,,,158.977,20.132,83.421,13.406,0.0,760.11124,,15.07,,,,,,,,,10.0,
,W18,30.95,101.24,,,,40,1390,7.1,,,,281.929,11.42,75.533,15.636,1.022,1003.145,,11.334,,,,,,,,,10.0,
,W18,30.95,101.24,,,,39.5,31900,7.52,,,,290.776,6.982,76.713,13.415,0.9289999999999999,835.3767,,11.495,,,,,,,,,10.0,
,W19,30.86,101.29,,,,45,735,9.46,,,,112.508882122064,28.9689976366144,45.5659162571588,2.7308,12.3189,610.974,,16.5140571358676,,,,,,,,,10.0,
,W19,30.86,101.29,,,,46.5,897,7.97,,,,115.738,35.749,14.974,2.344,10.56,650.13,,17.2,,,,,,,,,10.0,
