location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number,Database_name
Steiermark,Blumau 2,47.12,16.04,2843,,,,,,,,,,,,4170,494.42,,,,,,,,10.27,,,,3,
Steiermark,Blumau 2,47.12,16.04,2843,,,,,,,,,,,,4310,506.88,,,,,,,,10.08,,,,3,
Steiermark,Blumau 2,47.12,16.04,2843,,,,,,,,,,,,4270,524,,,,,,,,9.91,,,,3,
Steiermark,Blumau 2,47.12,16.04,2843,,,42.2,19850,7,-133,,0,,,,,,,,,,,0.09,,,,,,3,
Steiermark,Blumau 2,47.12,16.04,2843,,,37.8,19870,7,-75,,0,,,,,,,,,,,0.09,,,,,,3,
Steiermark,Blumau 2,47.12,16.04,2843,,,36.7,19910,7,-117,,0,,,,,,,,,,,0.09,,,,,,3,
Steiermark,Blumau 2,47.12,16.04,2843,,,37.8,19870,7,-75,,0,,,,,,,,,1.38,,0.09,0.003,,,,,3,
Steiermark,Blumau 2,47.12,16.04,2843,,,37.8,19870,7,-75,,0,,,,,,7830,,,,,,,,,,,3,
Steiermark,Blumau 2,47.12,16.04,2843,Pelite,Carboniferous,,,,,,,,,,4034.86,554.87,,,,,,,,10.1456,,,,3,
Steiermark,Blumau 2,47.12,16.04,2843,Micritic limestone,Carboniferous,,,,,,,,,,3915.72,544.75,,,,,,,,10.0842,,,,3,
Steiermark,Blumau 2,47.12,16.04,2843,Micritic limestone,Carboniferous,,,,,,,,,,4078.01,570.36,,,,,,,,10.2901,,,,3,
Steiermark,Blumau 2,47.12,16.04,2843,Psammite,Carboniferous,,,,,,,,,,,,,,,,,,,,,,,3,
Steiermark,Blumau 2,47.12,16.04,2843,Micritic limestone,Cretaceous,,,,,,,,,,,,,,,,,,,,,,,3,
Steiermark,Blumau 2,47.12,16.04,2843,Sparitic limestone,Carboniferous,,,,,,,,,,,,,,,,,,,,,,,3,
Steiermark,Blumau 2,47.12,16.04,2843,,Carboniferous,,,,,,,,,,3730,500.31,,,,,,,,10.44,,,,3,
Steiermark,Blumau 2,47.12,16.04,2843,Pelite,Carboniferous,,,,,,,,,,4020,545.11,,,,,,,,10.46,,,,3,
Steiermark,Blumau 2,47.12,16.04,2843,Chert,,,,,,,,,,,3850,520.36,,,,,,,,10.55,,,,3,
Steiermark,Georgsquelle,47.02,14.41,53,Pelite,,23.5,2270,6.2,272,,0,94,48,370,54,500,901,0.51,33,5,,0.99,1.3,1.4,,,,3,
Steiermark,Georgsquelle,47.02,14.41,53,Micritic limestone,,25,2790,6.1,205,,0,130,64,460,78,730,1030,0.7,4.7,7.9,,1.2,0.84,2.3,,,,3,
Steiermark,Georgsquelle,47.02,14.41,53,Breccia,,25.4,2850,6.1,201,,0,140,63,460,88,720,1040,0.72,48,8,,2,0.83,2.4,,,,3,
Steiermark,Georgsquelle,47.02,14.41,53,Sparitic limestone,,25.4,2860,6.1,153,,0,140,63,460,79,730,1040,0.73,48,8.1,,1.7,0.84,2.4,,,,3,
Steiermark,Georgsquelle,47.02,14.41,53,,,21,2220,6.3,303,,0.2,86,55,370,55,520,889,0.47,31,5.2,,0.04,0.26,1.5,,,,3,
Prov. Hainaut,"Sondage de Saint-Ghislain  (1972-78) - 
Pl. 150E n° 387,  in Archives of the Belgian Geological Survey",50.446024,3.828489,5406,Breccia,,73,,,,,,92.42,77.4,426.2,77.28,1248.96,192.76,,8.99,14.2,,,,,,,,3,
Prov. Hainaut,"Sondage de Saint-Ghislain  (1972-78) - 
Pl. 150E n° 387,  in Archives of the Belgian Geological Survey",50.446024,3.828489,5406,Micritic limestone,,73,2300,,,,,62,75,450,77,1250,180,,7,6.5,,,,,,,,3,
Prov. Hainaut,"Sondage de Saint-Ghislain  (1972-78) - 
Pl. 150E n° 387,  in Archives of the Belgian Geological Survey",50.446024,3.828489,5406,Breccia,,73,2170,7.11,,,,53.7,80,440,75.7,1275.8,178.9,,7.3,5.87,,0.153,,,,,,3,
Prov. Hainaut,"Sondage de Saint-Ghislain  (1972-78) - 
Pl. 150E n° 387,  in Archives of the Belgian Geological Survey",50.446024,3.828489,5406,,,,,,,,,,,,,,,,,,,,,,,,,3,
Prov. Hainaut,"Sondage de Saint-Ghislain  (1972-78) - 
Pl. 150E n° 387,  in Archives of the Belgian Geological Survey",50.446024,3.828489,5406,Breccia,,,,,,,,,,,,,,,,,,,,,,,,3,
Prov. Hainaut,"Sondage de Douvrain (1979) - 
Pl. 139E (Baudour), n°352, in Archives of the Belgian Geological Survey",50.471559,3.855943,1447.3,Micritic limestone,,67,,6.6,,,,57.93,56.16,224.8,76.93,619.68,209.84,,6.26,7.01,,,,,,,,3,
Prov. Hainaut,"Sondage de Douvrain (1979) - 
Pl. 139E (Baudour), n°352, in Archives of the Belgian Geological Survey",50.471559,3.855943,1447.3,Carbonatic siliciclastic rock,,67,1600,,,,,50,42,240,65,620,210,,5.5,3.8,,,,,,,,3,
Prov. Hainaut,"Sondage de Douvrain (1979) - 
Pl. 139E (Baudour), n°352, in Archives of the Belgian Geological Survey",50.471559,3.855943,1447.3,Chert,,67,1290,7.36,,,,46.9,39.9,216.9,68.5,528.3,196.3,,5.8,2.62,,5.067,,,,,,3,
Prov. Hainaut,"Sondage de Douvrain (1979) - 
Pl. 139E (Baudour), n°352, in Archives of the Belgian Geological Survey",50.471559,3.855943,1447.3,,famen,,,,,,,,,,,,,,,,,,,,,,,3,
Prov. Hainaut,"Sondage de Douvrain (1979) - 
Pl. 139E (Baudour), n°352, in Archives of the Belgian Geological Survey",50.471559,3.855943,1447.3,,cuis-thanet,,,,,,,,,,,,,,,,,,,,,,,3,
Prov. Hainaut,"Sondage de Ghlin (1981) - 
Pl. 151W n° 722, in Archives of the Belgian Geological Survey",50.463329,3.913396,1579.5,,givet,71,,,,,,91.73,66,362,61.9,1125.98,222.96,,7.39,,,,,,,,,3,
Prov. Hainaut,"Sondage de Ghlin (1981) - 
Pl. 151W n° 722, in Archives of the Belgian Geological Survey",50.463329,3.913396,1579.5,,frasn-givet,71,,6.7,,,,21.1,74.7,429.1,11.2,1464,266.2,,5.2,7.02,,41.306,,,,,,3,
Prov. Hainaut,"Sondage de Ghlin (1981) - 
Pl. 151W n° 722, in Archives of the Belgian Geological Survey",50.463329,3.913396,1579.5,Micritic limestone,variscan age,,,,,,,21.6,73.1,421,12.8,1402.1,274.7,,5.46,,,,,,,,,3,
Prov. Antwerpen,"Merksplas-Beerse I (1983) -  Production well
Pl. 17W/265 n°165,  in Archives of the Belgian Geological Survey",51.341603,4.827091,1761,,,,,,,,,39190,1700,8000,78460,708,,,1940,,,16,,,,,,3,
Prov. Antwerpen,"Merksplas-Beerse I (1983) -  Production well
Pl. 17W/265 n°165,  in Archives of the Belgian Geological Survey",51.341603,4.827091,1761,,,,,,,,,41000,1000,7400,81000,670,839,,,,,35,1,,,,,3,
Prov. Antwerpen,"Merksplas-Beerse I (1983) -  Production well
Pl. 17W/265 n°165,  in Archives of the Belgian Geological Survey",51.341603,4.827091,1761,,,,,,,,,33500,970,10100,70900,652,350,,1790,,,40.3,4.51,,,,,3,
Prov. Antwerpen,"Merksplas-Beerse I (1983) -  Production well
Pl. 17W/265 n°165,  in Archives of the Belgian Geological Survey",51.341603,4.827091,1761,,,,,,,,,38400,943,9580,71250,700,427,,1820,,,3.12,3.01,,,,,3,
Prov. Antwerpen,"Merksplas-Beerse I (1983) -  Production well
Pl. 17W/265 n°165,  in Archives of the Belgian Geological Survey",51.341603,4.827091,1761,,,68,,,,,,,,,,,,,,,,,,,,,,3,
Prov. Antwerpen,"Merksplas-Beerse I (1983) -  Production well
Pl. 17W/265 n°165,  in Archives of the Belgian Geological Survey",51.341603,4.827091,1761,,,68,,,,,,,,,,,,,,,,,,,,,,3,
Prov. Antwerpen,"Merksplas-Beerse I (1983) -  Production well
Pl. 17W/265 n°165,  in Archives of the Belgian Geological Survey",51.341603,4.827091,1761,,"Jurassic 145-201,5",73,,,,,,,,,,,,,,,,,,,,,,3,
Prov. Antwerpen,"Merksplas-Beerse I (1983) -  Production well
Pl. 17W/265 n°165,  in Archives of the Belgian Geological Survey",51.341603,4.827091,1761,,"Triassic 201,5-252,5",73,,,,,,,,,,,,,,,,,,,,,,3,
Prov. Antwerpen,"Merksplas-Beerse I (1983) -  Production well
Pl. 17W/265 n°165,  in Archives of the Belgian Geological Survey",51.341603,4.827091,1761,,"Jurassic 145-201,5",68,,,,,,,,,,,,,,,,,,,,,,3,
Prov. Antwerpen,Merksplas-Beerse II - injection well,51.340572,4.828146,800,,"Jurassic 145-201,5",,,,,,,,,,,,,,,,,,,,,,,3,
Prov. Antwerpen,Merksplas-Beerse II - injection well,51.340572,4.828146,800,,,,,,,,,,,,,,,,,,,,,,,,,3,
Prov. Antwerpen,"MOL-GT-01-S1
Balmatt site",51.224258,5.110015,3610,,"Triassic 201,5-252,5",,130000,7.3,,,,37640,483.4,7308,87840,255.8,141.6,,3258,,,,,,,,,3,
Prov. Antwerpen,"MOL-GT-01-S1
Balmatt site",51.224258,5.110015,3610,,"Triassic 201,5-252,5",,,,,,,,,,,,,,,,,,,,,,,3,
Prov. Antwerpen,"MOL-GT-01-S1
Balmatt site",51.224258,5.110015,3610,,,,184000,5.47,,,,49800,557,9160,98100,323,1117,,2770,396,,809,13.6,0,,,,3,
