location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number,Database_name
Nevado de Chillan Vn.,ATF,-36.86333,-71.37667,,Andesite,,68.0,,3.9,,,,56.0,33.1,105.4,0.25,552.0,18.0,,21.48,78.6,,,,,,,,13,
Nevado de Chillan Vn.,ATF,-36.86333,-71.37667,,Andesite,,82.0,,2.6,,,,20.0,6.18,10.0,16.62,293.76,,,4.45,47.5,,,,,,,,13,
Nevado de Chillan Vn.,ATF,-36.86333,-71.37667,,Andesite,,91.0,,2.4,,,,58.1,52.0,81.3,11.82,881.79,0.0,,26.6,143.0,,,,,,,,13,
Trapa Trapa,LOFS,-37.82667,-71.13,,Andesite,,45.0,,7.8,,,,134.0,3.2,29.0,178.0,14.4,76.88,,1.7,305.0,,,,,,,,13,
Copahue Vn.,LOFS,-37.85,-71.17,,Andesite,,87.0,,2.7,,,,22.9,24.2,35.5,0.22,2258.0,0.0,,12.5,141.0,,,,,,,,13,
Copahue Vn.,LOFS,-37.85,-71.17,,Andesite,,93.0,,3.6,,,,27.7,2.4,20.9,0.32,414.52,0.0,,12.4,87.2,,,,,,,,13,
Copahue Vn.,LOFS,-37.85,-71.17,,Andesite,,88.0,,2.2,,,,4.75,1.88,2.34,2.5,1336.19,,,2.75,27.4,,,,,,,,13,
Pucon Mahuida,LOFS,-37.85,-71.17,,Andesite,,47.0,,7.9,,,,440.0,294.0,172.0,274.0,841.0,1550.0,,108.0,816.0,,,,,,,,13,
Termas del Avellano,LOFS,-37.99123,-71.53136,,Andesite,,78.0,,7.7,,,,246.0,0.2,34.0,273.0,173.0,52.0,,12.3,756.0,,,,,,,,13,
Termas de Pemehue,LOFS,-38.06739,-71.71277,,Andesite,,38.5,,7.5,,,,325.0,0.44,122.0,876.0,155.0,32.0,,45.8,2820.0,,,,,,,,13,
Pelehue,LOFS,-38.47289,-71.36324,,Andesite,,82.0,,3.3,,,,45.3,2.71,13.9,0.24,320.0,,,3.39,130.0,,,,,,,,13,
Termas de Coyuco,LOFS,-38.18931,-71.0365,,Andesite,,36.0,,6.2,,,,135.0,69.5,82.2,10.5,17.4,892.0,,13.1,548.0,,,,,,,,13,
Termas Malleco,ATF,-38.23439,-71.72809,,Andesite,,85.5,,8.4,,,,108.0,0.08,6.68,82.1,40.4,88.5,,4.8,51.9,,,,,,,,13,
Tolhuaca Vn.,ATF,-38.31,-71.645,,Andesite,,92.0,,2.4,,,,17.3,16.0,31.4,0.5,645.0,,,5.2,68.1,,,,,,,,13,
Sierra Nevada Vn.,LOFS,-38.5833,-71.5833,,Andesite,,87.0,,3.4,,,,4.1,3.96,13.9,0.22,174.0,,,0.5,128.0,,,,,,,,13,
Agua de la Vaca,LOFS,-38.58015,-71.62808,,Andesite,,35.0,,7.2,,,,99.1,2.98,52.2,138.0,110.0,56.74,,14.9,297.0,,,,,,,,13,
Termas de Balboa,LOFS,-38.95637,-71.70944,,Andesite,,45.0,,7.3,,,,135.0,2.7,13.4,157.0,28.6,84.1,,10.9,106.0,,,,,,,,13,
Termas de Rio Blanco,LOFS,-39.14,-71.49,,Andesite,,51.0,,7.7,,,,71.8,0.46,10.6,17.1,78.6,80.2,,1.79,278.0,,,,,,,,13,
Termas Quimey-Có,LOFS,-39.21944,-71.69588,,Andesite,,45.0,,8.1,,,,39.0,0.6,8.38,15.8,44.4,37.5,,1.09,110.0,,,,,,,,13,
Parque Termal Menetùe,LOFS,-39.32877,-71.72086,,Andesite,,42.0,,9.2,,,,64.0,0.57,5.04,22.2,49.7,50.34,,1.16,56.9,,,,,,,,13,
Termas de San Luis,LOFS,-39.34004,-71.69108,,Andesite,,40.0,,9.3,,,,60.4,0.12,5.12,9.07,70.6,39.2,,1.11,74.0,,,,,,,,13,
Termas de Palguin,ATF,-39.42105,-71.78619,,Andesite,,50.0,,8.9,,,,67.8,0.6,5.65,19.2,72.2,60.03,,2.13,31.1,,,,,,,,13,
Termas El Rincón,ATF,-39.42062,-71.67094,,Andesite,,37.0,,7.7,,,,71.7,1.77,10.9,20.2,109.0,50.3,,4.98,34.4,,,,,,,,13,
Eco Termas Pellaifa,ATF,-39.6,-71.95,,Andesite,,50.0,,8.0,,,,111.0,0.28,6.85,73.4,74.8,71.7,,3.18,44.2,,,,,,,,13,
Termas de Coñaripe,ATF,-39.635,-71.9233,,Andesite,,74.6,,8.5,,,,132.0,0.26,6.15,79.6,98.8,82.4,,3.97,56.7,,,,,,,,13,
Termas de Trafipan,LOFS,-39.74,-71.85,,Andesite,,37.2,,8.7,,,,57.6,0.82,9.82,23.6,73.2,39.4,,1.61,71.2,,,,,,,,13,
Termas de Chihuio,LOFS,-40.19396,-71.9345,,Andesite,,82.5,,9.3,,,,103.0,0.01,13.1,14.4,188.0,21.3,,4.74,294.0,,,,,,,,13,
Termas de Puyehue,LOFS,-40.71223,-72.32695,,Andesite,,60.0,,8.3,,,,160.0,0.79,8.78,148.0,116.0,63.46,,5.64,138.0,,,,,,,,13,
Termas de Aguas Calientes,LOFS,-40.73555,-72.30749,,Andesite,,66.0,,7.8,,,,179.0,1.04,23.2,191.0,118.0,53.08,,8.0,251.0,,,,,,,,13,
Termas de Rupanco,LOFS,-40.85889,-72.22278,,Andesite,,80.0,,7.9,,,,184.0,0.3,23.6,245.0,113.0,78.71,,7.53,184.0,,,,,,,,13,
