location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number,Database_name
Chumphon (CP),CP1,9.72503818011114,99.11142670200115,,Sandstone,,50,,7.8,,,,,29.8,89.5,112.0,8.0,354,,6.8,,,0.03,0.04,,,,,8,
Ranong (RN),RN1,9.955535090435168,98.65486129056353,,Granite,,65,,8.3,,,,,0.02,44.1,4.8,19.3,182,,2.8,,,0.0,0.1,,,,,8,
Ranong (RN),RN2,9.902911681069856,98.63513166475545,,Sandstone,,40,,8.3,,,,,0.03,44.1,11.0,44.9,189,,3.2,,,3.0,0.02,,,,,8,
Ranong (RN),RN3,9.891163961190239,98.64453954257856,,Sandstone,,45,,8.4,,,,,0.01,44.3,10.0,44.9,190,,3.0,,,0.0,0.01,,,,,8,
Ranong (RN),RN4,9.899089818316044,98.65602411095497,,Sandstone,,50,,8.2,,,,,0.05,17.8,5.9,7.0,151,,2.0,,,0.05,0.02,,,,,8,
Ranong (RN),RN5,9.77263,98.6005,,Sandstone,,46,,8.3,,,,,0.9,28.1,13.3,10.0,177,,3.5,,,0.22,0.2,,,,,8,
Ranong (RN),RN6,9.593045473378172,98.73398220094657,,Granite,,75,,8.1,,,,,29.8,89.5,112.0,8.0,354,,6.8,,,0.03,0.04,,,,,8,
Surat Thani (SR),SR1,9.362117171706565,99.19222661016902,,Sandstone,,45,,7.7,,,,,156.0,933.0,7020.0,839.0,103,,132.0,,,0.47,0.08,,,,,8,
Surat Thani (SR),SR2,9.353183713500382,99.18685769168853,,Sandstone,,40,,7.8,,,,,74.8,400.0,3403.0,427.0,112,,64.2,,,0.35,0.08,,,,,8,
Surat Thani (SR),SR3,9.331050481889823,99.20409342147371,,Sandstone,,60,,7.9,,,,,148.0,840.0,6630.0,746.0,117,,115.0,,,0.35,0.16,,,,,8,
Surat Thani (SR),SR4,9.13216,99.50174,,Sandstone,,41,,8.3,,,,,22.4,27.8,21.0,26.0,181,,2.4,,,0.22,0.16,,,,,8,
Surat Thani (SR),SR5,8.80155,99.4173,,Sandstone,,42,,8.4,,,,,2.47,20.9,14.0,7.0,210,,6.0,,,0.35,0.16,,,,,8,
