location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number,Database_name
Yukon,South Redstone HS,63.40501,-125.9557,,,,,,,,4.830264296907846,,2.1313828773138175,0.8640197490228348,1.7964968311792004,,,,,0.038364839391994025,,,,,,,,,7,
Yukon,Liard HS,59.4278,-126.09892,,,,,,6.5,,17.609942785616823,,0.7133607997540122,1.4153466364945484,5.63900394231249,0.47108603667136806,6.162814907349573,2.9500072111287383,,0.25832325190609307,,,,,,,,,7,
Yukon,Portage Brule HS,59.63029,-126.90672,,,,,,,,23.44470217941414,,1.783401999385031,3.1680724130837277,3.118918109686112,1.8053596614950633,0.8015823443681033,11.881973489268528,,0.8696030262185312,,,,,15.791135909043057,,,,7,
Yukon,Pool Creek HS,60.38142,-125.56873,,,,,667.0,6.4,,10.362711205854753,,0.3914784876698848,1.2919152437770005,2.1582913319027894,0.15796897038081803,0.9795960857797209,5.244457264228868,,0.10742155029758327,,,,,31.582271818086113,,,,7,
Yukon,Canyon Creek WS,60.27582,-125.64786,,,,,423.0,7.3,,6.758038541436931,,0.09134498045630646,0.9051635465953508,1.3448774888966515,0.028208744710860365,0.24984384759525297,4.097232237678803,,0.025576559594662682,,,,,15.791135909043057,,,,7,
Yukon,Thorpe Creek WS,60.00999,-125.74744,,,,,488.0,6.9,,7.814437047923199,,0.17834019993850306,0.8640197490228348,1.694196317181496,0.12976022566995768,0.4112013325005205,4.425010816693107,,0.04348015131092656,,,,,68.42825560585325,,,,7,
Yukon,Crow River WS,60.19948,-125.78986,,,,,367.0,6.9,,7.393945838454169,,0.03479808779287865,1.1191112939724337,1.417236389041369,0.011283497884344146,0.3216739537788882,4.425010816693107,,0.03324952747306149,,,,,31.582271818086113,,,,7,
Yukon,Wildmint WS,61.42595,-126.57484,,,,,,,,4.292923000409463,,0.060896653637537636,1.0491668380991566,3.118918109686112,,,,,0.06394139898665671,,,,,,,,,7,
Yukon,Rabbitkettle WS,61.9415,-127.17908,,,,,,,,6.920200282928578,,0.16964067799028343,1.6375231433861344,4.990268975497779,,,,,0.12276748605438087,,,,,,,,,7,
Yukon,Hole-in-the-Wall HS,61.7,-127.283,,,,,,,,1.2657782783200031,,1.2179330727507527,0.0,0.029941613852986673,,,,,0.017903591716263878,,,,,,,,,7,
Yukon,Moore HS,62.343,-128.1591,,,,,,,,0.0,,,,,,,,,,,,,,,,,,7,
Yukon,Nahanni headwaters HS,62.817,-128.833,,,,,,,,2.5492100624694007,,2.4358661455015054,0.0,0.0698637656569689,,,,,0.04348015131092656,,,,,,,,,7,
Yukon,Mountain 3,64.011,-129.00361,,,,,,7.88,,32.4154198676071,,8.699521948219664,2.419255297263937,6.7368631169220015,7.418899858956276,5.777638975640225,1.270141993680429,,0.09309867692457216,,,,,,,,,7,
Yukon,Kraus (Clausen Creek) HS,61.25238,-124.05754,,,,,,,,75.59605438083913,,,,,64.23131170662904,6.870705808869457,4.441399745643823,,,,,,,52.63711969681019,,,,7,
