location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number
Yukon,South Redstone HS,63.40501,-125.9557,,,,,,,,,,49.0,21.0,72.0,,,,,1.5,,,,,,,,,7
Yukon,Liard HS,59.4278,-126.09892,,,,,,6.5,,,,16.4,34.4,226.0,16.7,592.0,180.0,,10.1,,,,,,,,,7
Yukon,Portage Brule HS,59.63029,-126.90672,,,,,,,,,,41.0,77.0,125.0,64.0,77.0,725.0,,34.0,,,,,0.3,,,,7
Yukon,Pool Creek HS,60.38142,-125.56873,,,,,667.0,6.4,,,,9.0,31.4,86.5,5.6,94.1,320.0,,4.2,,,,,0.6,,,,7
Yukon,Canyon Creek WS,60.27582,-125.64786,,,,,423.0,7.3,,,,2.1,22.0,53.9,1.0,24.0,250.0,,1.0,,,,,0.3,,,,7
Yukon,Thorpe Creek WS,60.00999,-125.74744,,,,,488.0,6.9,,,,4.1,21.0,67.9,4.6,39.5,270.0,,1.7,,,,,1.3,,,,7
Yukon,Crow River WS,60.19948,-125.78986,,,,,367.0,6.9,,,,0.8,27.2,56.8,0.4,30.9,270.0,,1.3,,,,,0.6,,,,7
Yukon,Wildmint WS,61.42595,-126.57484,,,,,,,,,,1.4,25.5,125.0,,,,,2.5,,,,,,,,,7
Yukon,Rabbitkettle WS,61.9415,-127.17908,,,,,,,,,,3.9,39.8,200.0,,,,,4.8,,,,,,,,,7
Yukon,Hole-in-the-Wall HS,61.7,-127.283,,,,,,,,,,28.0,0.0,1.2,,,,,0.7,,,,,,,,,7
Yukon,Moore HS,62.343,-128.1591,,,,,,,,,,,,,,,,,,,,,,,,,,7
Yukon,Nahanni headwaters HS,62.817,-128.833,,,,,,,,,,56.0,0.0,2.8,,,,,1.7,,,,,,,,,7
Yukon,Mountain 3,64.011,-129.00361,,,,,,7.88,,,,200.0,58.8,270.0,263.0,555.0,77.5,,3.64,,,,,,,,,7
Yukon,Kraus (Clausen Creek) HS,61.25238,-124.05754,,,,,,,,,,,,,2277.0,660.0,271.0,,,,,,,1.0,,,,7
Yukon,Nahanni North (Lened) HS,62.37167,-128.67981,,,,,,,,,,67.0,0.0,1.9,,,,,1.4,,,,,,,,,7
Yukon,Broken Skull HS,62.82168,-128.1336,,,,,,,,,,50.2,50.2,140.0,,,,,33.8,,,,,,,,,7
Yukon,Grizzly Bear HS,62.6638,-127.91881,,,,,,,,,,22.0,25.5,105.0,,,,,23.8,,,,,,,,,7
Yukon,McPherson Lake WS,61.86137,-129.66929,,,,,,7.3,,,,3.3,10.1,47.0,0.2,12.2,109.0,,0.5,,,,,,,,,7
Yukon,Mactung HS,63.28318,-130.22964,,,,,,,,,,,,,,,,,,,,,,,,,,7
Yukon,West Cantung HS,61.95491,-128.20613,,,,,,,,,,47.0,1.2,7.6,,,,,1.2,,,,,,,,,7
Yukon,Takhini HS,60.8789,-135.36011,,,,,2905.0,6.6,,,,35.1,79.2,611.0,1.0,1670.0,112.0,,8.8,,,,,3.2,,,,7
Yukon,Versluce WS,60.76146,-135.14582,,,,,336.0,7.6,,,,5.8,14.3,49.5,1.0,28.0,198.0,,1.4,,,,,0.4,,,,7
Yukon,Stinky Lake WS,60.75248,-135.128,,,,,347.0,7.6,,,,6.9,15.1,51.0,1.0,30.1,208.0,,1.7,,,,,0.5,,,,7
Yukon,SLC1 WS,60.78902,-135.20278,,,,,360.0,7.8,,,,7.3,15.3,60.1,1.2,43.9,219.0,,2.1,,,,,0.4,,,,7
Yukon,SLC2 WS,60.78873,-135.20118,,,,,404.0,7.7,,,,5.5,12.0,44.8,0.8,27.0,179.0,,1.4,,,,,0.3,,,,7
Yukon,McIntyre Creek,60.74632,-135.10815,,,,,,,,,,2.9,7.7,36.0,0.2,9.4,136.0,,1.2,,,,,0.2,,,,7
Yukon,McArthur HS,63.06761,-135.71165,,,,,268.0,7.2,,,,40.9,0.0,1.4,0.9,14.9,43.0,,1.1,,,,,7.6,,,,7
Yukon,Partridge Creek WS,63.70526,-137.31082,,,,,441.0,8.8,,,,75.9,0.2,6.2,11.2,63.2,100.0,,2.3,,,,,9.4,,,,7
Yukon,Jarvis River WS,60.90144,-137.96969,,,,,660.0,8.1,,,,111.0,9.6,10.5,26.6,32.7,332.0,,1.9,,,,,0.3,,,,7
Yukon,Nash Creek HS,64.55104,-134.70978,,,,,390.0,7.3,,,,22.1,15.5,42.7,42.6,27.0,169.0,,5.6,,,,,0.5,,,,7
Yukon,Nash Creek WS (N09S-10),64.60932,-135.00865,,,,,207.0,8.2,,,,0.7,12.1,22.5,0.6,8.2,125.0,,0.2,,,,,0.1,,,,7
Yukon,Larsen North HS,60.19873,-125.51287,,,,,554.0,7.0,,,,5.6,19.8,81.0,5.2,96.2,230.0,,4.2,,,,,0.6,,,,7
Yukon,Larsen South HS,60.19828,-125.52384,,,,,538.0,6.8,,,,5.6,18.3,82.9,5.1,98.3,230.0,,4.1,,,,,0.6,,,,7
Yukon,Coal River WS,60.15235,-127.43579,,,,,531.0,6.6,,,,1.3,17.0,86.3,0.3,19.0,340.0,,0.7,,,,,0.2,,,,7
Yukon,Flat Fruit,61.66667,-127.58333,,,,,,7.06,,,,24.0,49.0,470.0,1.7,36.0,897.0,,5.98,,,,,,,,,7
Yukon,Mess Lake HS,57.40435,-130.91825,,,,,2400.0,6.2,,,,190.0,20.4,138.0,209.0,150.0,441.0,,18.0,,,,,1.7,,,,7
Yukon,Sphaler Creek HS,57.01681,-131.30861,,,,,,6.59,,,,396.0,12.3,64.8,63.4,145.0,963.0,,16.3,,,,,3.89,,,,7
Yukon,Tawah Creek HS,57.71487,-130.70947,,,,,3000.0,6.72,,,,515.0,141.0,167.0,52.7,5.01,2440.0,,54.6,,,,,0.023,,,,7
Yukon,Elwyn Creek HS,57.77206,-130.74563,,,,,2780.0,6.01,,,,659.0,104.0,126.0,51.0,0.62,2512.0,,49.0,,,,,0.25,,,,7
Yukon,Vista Mountain WS,60.915894,-135.18883,,,,,624.0,10.07,,,,126.0,0.0,5.8,34.8,185.0,12.0,,2.3,,,,,9.85,,,,7
Yukon,Morin North WS,59.98333,-134.21667,,,,,,7.53,,,,1.65,13.0,61.0,0.2,5.4,134.0,,0.8,,,,,,,,,7
Yukon,Morin Middle,59.96917,-134.22623,,,,,,7.29,,,,2.85,15.8,68.0,0.1,7.5,122.0,,1.04,,,,,,,,,7
Yukon,Bailey Bay HS,55.9778245,-131.6640596,,,,,,,,,,,,,,,,,,,,,,,,,,7
Yukon,Bell Island HS,55.9299379,-131.568339,,,,,,,,,,,,,,,,,,,,,,,,,,7
Yukon,Saks Cove?Robinson Creek HS,55.865437,-131.0605,,,,,,,,,,,,,,,,,,,,,,,,,,7
Yukon,Bradfield HS,56.2296634,-131.4570819,,,,,,,,,,,,,,,,,,,,,,,,,,7
