location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number,Database_name
Aarbergen-Rückershausen,Antoniussprudel,50.26492644423978,8.057309675431043,3,Quartzite,Devonian,12,,,,47.524648861169055,,9.917455020970415,2.2341082081876156,6.437446978392135,1.0324400564174894,0.13220903601915468,26.763120976517943,0.04322766570605187,0.31970699493328353,9.130335539831089,22.17540747311232,0.17906706061420002,0.03640467436018785,,,398.1564460376392,,6,
Aarbergen-Rückershausen,Antoniussprudel,50.26492644423978,8.057309675431043,3,Quartzite,Devonian,12.6,,,,42.679956435295225,,8.812615733546519,2.2793663855173834,6.055691401766555,1.0183356840620592,0.24151571934207786,24.093364450446433,,,,,0.17906706061420002,,,,,,6,
Alheim-Heinebach,Wichte I,51.03155745159091,9.585268002139289,168,Sandstone,Triassic,11.1,226.0,7.27,,3.7746527086095347,0.20001250078129884,0.35233063890289634,0.48961119111293977,0.5663955287189979,0.26798307475317346,0.22694149489902143,1.7503376119363845,,0.06394139898665671,,,0.0005372011818426001,0.00012741636026065748,,0.05644715175736111,,,6,
Alheim-Licherode,Niederellenbach (old),51.02774204169852,9.575242006521949,120,Sandstone,Triassic,9.2,137.0,7.69,,2.076218354280999,0.2625164072754547,0.26968518039480954,0.2221765068915861,0.24202804531164226,0.16361071932299012,0.055173849677285024,0.999724665993628,,0.10742155029758327,,,0.00017906706061420003,9.101168590046961e-05,,0.016127757644960317,,,6,
Alheim-Niederellenbach,Wichte II,51.04095565786939,9.593228543123356,178.5,Sandstone,Triassic,11.3,254.0,7.56,,4.3170796789762464,0.2062628914307144,0.3001335072135784,0.6048138243159843,0.656220370277958,0.2736248236953455,0.17697272537997086,2.214144301241625,,0.0562684311082579,,,0.0017906706061420004,0.0008555098474644144,,0.032255515289920635,,,6,
Alsbach-Hähnlein,Tiefbrunnen I Hähnlein-West,49.74946907419721,8.546054456482755,435,Sand and Gravel,Neogene,17.2,,,,584.9856058206361,,221.8378096796014,9.216210656243572,33.933829033384896,313.11706629055004,0.0,2.368200233378348,,,,,4.512489927477841,,,,,,6,
Altenstadt (Hesse),Altenstadt I,50.29197534094305,8.936399009318295,372,Sandstone,Permian,18,,,,15.847743821392989,,7.599032421769875,0.1501748611396832,0.10005489295873046,2.1001410437235544,0.09993753903810118,5.798403062763042,,,,,,,,,,,6,
Bad Arolsen,Schlossbrunnen,51.37692739030102,9.020491756347912,401,Claystone,Permian,14.3,,,,29.92120859930341,,2.3923685357604074,3.5054515531783585,7.989420629771944,0.3723554301833568,10.260254007911723,4.69706703727498,0.023054755043227664,0.08363534987454697,68.47751654873316,16.631555604834237,0.034918076819769,0.0007280934872037569,78.95567954521528,0.048383272934880955,349.50710536423,,6,
Bad Arolsen,Schlossbrunnen,51.37692739030102,9.020491756347912,401,Claystone,Permian,15.1,1873.0,7.11,44.0,28.290868122358845,0.0031251953247077944,2.374969491863968,3.4643077556058426,7.23589001447178,0.23695345557122707,9.681449094316052,4.6052890351509745,0.005619596541786743,0.08440264666238685,70.76010043369094,3.3263111209668472,0.059092130002686004,0.0006552841384833812,89.48310348457731,0.004838327293488095,373.83177570093454,,6,
Bad Arolsen-Braunsen,Untersuchungsbohrung,51.3503649529879,9.0412163730278,450,,Permian,15,,,,19.930270589453265,,1.391923511715146,2.143591853528081,5.836119566844653,0.40056417489421714,6.765563189673121,3.3925082927980488,,,,,,,,,,,6,
Bad Arolsen-Neuberich,Neu-Berich,51.37483752952067,9.075064513862324,102,Sandstone,Triassic,9,,6.1,,3.6075766211309257,0.39064941558847427,0.5393703607896191,0.3744085579098951,0.5688906632067469,0.6403385049365302,0.32063293774724133,0.8558954255221511,,,,,,,,0.3080401710187421,,,6,
Bad Arolsen-Volkerdinghausen,Versuchsbohrung I,51.322268873878,9.050591304673356,404,Sandstone,Triassic,11.2,,7.2,,3.49919141848195,0.2625164072754547,0.7829569753397696,0.19749022834807653,0.5339587803782623,0.3385049365303244,0.2706641682281907,1.2125185194897143,,,,,,0.0018202337180093925,,0.16127757644960317,,,6,
Bad Camberg-Oberselters,Oberselteser Mineralbrunnen,50.32561184542114,8.242042055916652,12,Slate,Devonian,13.7,,,,71.707838883407,,29.778463628755908,1.5465953507508745,2.0480063875442887,17.5148095909732,0.1581303352071622,19.68310366980897,0.15734870317002883,0.44835708969443683,13.398767404702122,67.19148464353032,0.00057301459396544,0.0022024827987913646,,0.07073634503079596,218.92203303034185,,6,
Bad Camberg-Oberselters,Oberselteser Mineralbrunnen,50.32561184542114,8.242042055916652,12,Sandstone,Devonian,13.7,,,,71.707838883407,,29.778463628755908,1.5465953507508745,2.0480063875442887,17.5148095909732,0.1581303352071622,19.68310366980897,0.15734870317002883,0.44835708969443683,13.398767404702122,67.19148464353032,0.00057301459396544,0.0022024827987913646,,0.07073634503079596,218.92203303034185,,6,
Bad Camberg-Oberselters,Oberselteser Mineralbrunnen,50.32561184542114,8.242042055916652,12,Slate,Devonian,13.3,,,,81.2234104560018,,33.19302599343212,1.8403620654186381,2.6523279604770695,22.600846262341324,0.20924422236102436,19.830604030365407,,0.6286718348368087,,,0.028471662637657803,0.004550584295023481,,0.016127757644960317,219.17808219178085,,6,
Bad Camberg-Oberselters,Oberselteser Mineralbrunnen,50.32561184542114,8.242042055916652,12,Sandstone,Devonian,13.3,,,,81.2234104560018,,33.19302599343212,1.8403620654186381,2.6523279604770695,22.600846262341324,0.20924422236102436,19.830604030365407,,0.6286718348368087,,,0.028471662637657803,0.004550584295023481,,0.016127757644960317,219.17808219178085,,6,
Bad Emstal-Sand,Heilbrunnen,51.24663920924689,9.252011473445686,795.5,Dolomite,Permian,26.9,,,,79.31179376088235,,18.49002493239493,2.955,17.515,14.20120169252468,19.80053591505309,6.350031220909651,,,,,,,,,,,6,
Bad Emstal-Sand,Heilbrunnen,51.24663920924689,9.252011473445686,795.5,Dolomite,Permian,26.8,,,,79.66784164799449,,18.095005652296898,2.8018926146883354,17.59069813862967,14.200282087447107,19.643972517176763,6.35038218982313,,0.2915727793791546,145.2864642775622,8.870162989244928,0.18891574894798105,0.0014561869744075138,,0.0,349.50710536423,,6,
Bad Emstal-Sand,Heilbrunnen,51.24663920924689,9.252011473445686,795.5,Dolomite,Permian,27,4610.0,6.6,,80.10353207016344,,17.57303433540372,3.6947130220119315,17.091671241079894,14.301833568406204,20.403914220278992,5.998347995961767,0.02593659942363112,0.381090737960474,125.54211367267746,16.07717041800643,0.076998836064106,0.0025483272052131494,126.32908727234445,,285.49481500448087,,6,
Bad Hersfeld,Alter Lullusbrunnen,50.86138670376761,9.700736672368244,420,Dolomite,Permian,10.5,,,,95.53084440083556,,41.77510439535082,1.548241102653775,7.7074704326563195,9.96332863187588,20.1332500520508,12.61619750626057,0.03544668587896253,0.42994196678627966,74.19538918055238,,0.9940012534694243,0.005406094142487895,,0.06070487977563063,187.55601075406477,,6,
Bad Hersfeld,Alter Lullusbrunnen,50.86138670376761,9.700736672368244,420,Dolomite,Permian,n.s.,,,,65.38064085127306,,28.09945589274951,0.9874511417403826,6.0382254603523124,6.770098730606487,13.678950655840099,9.128633425548372,,0.4092249535146029,,,0.2686005909213,,,,,,6,
Bad Hersfeld,Alter Lullusbrunnen,50.86138670376761,9.700736672368244,420,Dolomite,Permian,11.2,,7.1,,29.743976639935546,,11.061442157161302,0.4854968113556882,3.375916961924248,3.1311706629055003,5.090568394753279,5.991792424381482,,0.3120340270548847,,,0.10206822455009401,0.0027303505770140883,,,190.75662527205222,,6,
Bad Hersfeld,Alter Lullusbrunnen,50.86138670376761,9.700736672368244,420,Dolomite,Permian,11.2,1678.0,5.15,,28.195194775249366,,9.047502826148449,0.39498045669615306,4.191825939418134,3.6671368124118473,4.507599417031022,5.736125132750324,,0.2250737244330316,50.21684546907099,,0.00017906706061420003,0.00025483272052131495,140.0147383935151,,234.2849827166816,,6,
Bad Hersfeld,Bohrung Friedlos,50.89857252593623,9.720342897846276,153,Sandstone,Triassic,n.s.,,,,7.468287866376945,,0.7394593655986713,0.740588356305287,1.3748191027496381,0.40056417489421714,0.3664376431397044,3.7980359507545463,,,,,,,,0.048383272934880955,,,6,
Bad Hersfeld,Geisbachtal/Frauenberg I,50.87967113144766,9.67941350770718,130.7,Sandstone,Triassic,n.s.,,,,9.857641695097977,,0.9351986094336138,1.1602550915449497,2.055990817905085,0.3385049365303244,1.6656256506350198,3.637555558469143,,,,,,,,0.06451103057984127,,,6,
Bad Hersfeld,Geisbachtal/Frauenberg II,50.87992751885329,9.681690685720628,100,Sandstone,Triassic,n.s.,,,,6.621007705819589,,0.5654689266342781,0.6418432421312487,1.2500623783621936,0.3385049365303244,0.1977930460129086,3.530568630278874,,,,,,,,0.09676654586976191,,,6,
Bad Hersfeld,Geisbachtal/Frauenberg III,50.87969259418401,9.675719489489367,110,Sandstone,Triassic,n.s.,,,,6.716946941431423,,0.43497609741098314,0.7899609133923061,1.3897899096761315,0.05641748942172073,0.6808244846970644,3.316594773898336,,,,,,,,0.048383272934880955,,,6,
