location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number,Database_name
Chumphon (CP),CP1,9.72503818011114,99.11142670200115,,Sandstone,,50,,7.8,,15.440856191370026,,2.762098218559743,1.2260851676609752,2.2331453665352563,3.1593794076163606,0.08328128253175099,5.801680848553185,,0.17392060524370623,,,0.0005372011818426001,0.0007280934872037569,,,,,8,
Ranong (RN),RN1,9.955535090435168,98.65486129056352,,Granite,,65,,8.3,,6.598999234851081,,2.105284311469158,0.0008228759514503189,1.1003543090972603,0.13540197461212974,0.20091609410784927,2.9827850690301685,,0.07161436686505551,,,0.0,0.0018202337180093925,,,,,8,
Ranong (RN),RN2,9.902911681069856,98.63513166475543,,Sandstone,,40,,8.3,,7.131026832356272,,2.018289091986962,0.0012343139271754782,1.1003543090972603,0.310296191819464,0.4674161982094524,3.097507571685175,,0.08184499070292059,,,0.05372011818426001,0.00036404674360187845,,,,,8,
Ranong (RN),RN3,9.89116396119024,98.64453954257856,,Sandstone,,45,,8.4,,7.086105761015729,,2.040037896857511,0.0004114379757251594,1.105344578072758,0.2820874471086036,0.4674161982094524,3.11389650063589,,0.07672967878398805,,,0.0,0.00018202337180093923,,,,,8,
Ranong (RN),RN4,9.899089818316044,98.65602411095496,,Sandstone,,50,,8.2,,5.217874426565914,,2.005239809064632,0.002057189878625797,0.44413393881930235,0.16643159379407615,0.07287112221528211,2.474728271557997,,0.051153119189325365,,,0.0008953353030710002,0.00036404674360187845,,,,,8,
Ranong (RN),RN5,9.77263,98.6005,,Sandstone,,46,,8.3,,6.44680582203762,,2.2314273797183435,0.03702941781526435,0.701132791057438,0.37517630465444285,0.10410160316468874,2.9008404242765926,,0.08951795858131939,,,0.0039394753335124,0.003640467436018785,,,,,8,
Ranong (RN),RN6,9.593045473378172,98.73398220094656,,Granite,,75,,8.1,,15.440856191370026,,2.762098218559743,1.2260851676609752,2.2331453665352563,3.1593794076163606,0.08328128253175099,5.801680848553185,,0.17392060524370623,,,0.0005372011818426001,0.0007280934872037569,,,,,8,
Surat Thani (SR),SR1,9.362117171706563,99.19222661016902,,Sandstone,,45,,7.7,,408.9973849582377,,167.46579750322852,6.418432421312487,23.279604770697137,198.02538787023977,8.734124505517384,1.6880596819236668,,3.376105866495474,,,0.0084161518488674,0.0014561869744075138,,,,,8,
Surat Thani (SR),SR2,9.353183713500382,99.18685769168852,,Sandstone,,40,,7.8,,197.67095548790047,,80.68806606973737,3.0775560584241926,9.980537950995558,95.99435825105782,4.445138455132209,1.8355600424801037,,1.6420151259773443,,,0.006267347121497,0.0014561869744075138,,,,,8,
Surat Thani (SR),SR3,9.331050481889823,99.20409342147371,,Sandstone,,60,,7.9,,385.6901211323176,,158.98376360371435,6.08928204073236,20.95912969709067,187.0239774330042,7.76597959608578,1.9175046872336798,,2.9413043533862084,,,0.006267347121497,0.0029123739488150276,,,,,8,
Surat Thani (SR),SR4,9.13216,99.50174,,Sandstone,,41,,8.3,,6.404648992456293,,0.8917009996925155,0.9216210656243571,0.6936473875941913,0.5923836389280677,0.2706641682281907,2.9663961400794534,,0.061383743027190435,,,0.0039394753335124,0.0029123739488150276,,,,,8,
Surat Thani (SR),SR5,8.80155,99.4173,,Sandstone,,42,,8.4,,7.126732378926838,,2.4315163845273955,0.10162518000411438,0.5214831079395179,0.3949224259520451,0.07287112221528211,3.4416750796501945,,0.1534593575679761,,,0.006267347121497,0.0029123739488150276,,,,,8,
Surat Thani (SR),SR6,8.864663885579915,99.03203141965326,,Sandstone,,53,,8.1,,11.410135389037272,,1.9486929164012043,1.1520263320304465,2.4227755876041717,0.3949224259520451,3.185509056839475,2.163338621494408,,0.13299810989224595,,,0.0084161518488674,0.0014561869744075138,,,,,8,
Surat Thani (SR),SR7,8.97315512281069,99.26761591472544,,Granite,,70,,7.9,,30.553186176467662,,2.805595828300841,3.094013577453199,9.506462398323269,0.5923836389280677,12.283989173433271,1.9175046872336798,,0.34784121048741246,,,0.0039394753335124,0.0014561869744075138,,,,,8,
Surat Thani (SR),SR8,8.965900711787208,99.2802464362168,,Sandstone,,56,,7.2,,10.949231658173865,,2.5968073015435693,0.9010491668380991,1.736613603473227,0.34414668547249644,3.0762023735165522,1.9666714740858253,,0.32737996281168236,,,0.00017906706061420003,0.00018202337180093923,,,,,8,
Surat Thani (SR),SR9,8.839505327391917,99.22686870433924,,Granite,,62,,6.8,,20.047614213646465,,0.5263210778672895,1.7486113968319277,6.612106392534558,0.25105782792665726,8.640433062669166,2.146949692543693,,0.11765217413544833,,,0.0041185423941266005,0.00036404674360187845,,,,,8,
Phang Nga (PG),PG1,8.69168,98.4678,,Granite,,78,,7.8,,6.582741624372292,,3.6537992182522583,0.007405883563052869,0.17216427965467337,0.16361071932299012,0.1238809077659796,2.376394697853706,,0.08440264666238685,,,0.0005372011818426001,0.0005460701154028177,,,,,8,
Phang Nga (PG),PG2,8.822777230110802,98.43502089972058,,Sandstone,,55,,6.8,,8.096870512808591,,4.7238404178832765,0.0032915038058012754,0.06487349668147113,0.20592383638928066,0.8067874245263377,2.2125054083465536,,0.07928733474345431,,,0.00017906706061420003,0.00018202337180093923,,,,,8,
Phang Nga (PG),PG3,8.30453256007253,98.27801528849022,,Sandstone,,45,,6.9,,158.47883514918462,,54.37201217637289,1.3495165603785229,12.849942611906782,87.36248236953455,0.2290235269623152,1.0161135949443432,,1.2865009476115328,,,0.002686005909213,0.010557355564454475,,,,,8,
Krabi (KB),KB1,8.146005101724441,98.99656861576196,,Sandstone,,45,,7.2,,10.407431365750144,,1.083090482553348,0.8228759514503189,2.1533010629272917,0.8349788434414668,0.05100978555069748,5.391957624785305,,0.06394139898665671,,,0.005730145939654401,0.0005460701154028177,,,,,8,
Krabi (KB),KB2,8.067236836446714,99.00166090256778,,Sandstone,,47,,7.3,,505.25729698731004,,193.5643633478875,11.108825344579305,24.32756125555167,262.0592383638928,9.275452841973767,1.7208375398250972,,3.1970699493328354,,,0.0034022741516698003,0.0005460701154028177,,,,,8,
Krabi (KB),KB3,8.035467017892126,99.0949453609656,,Sandstone,,45,,7.2,,107.16677221635501,,42.88864320472294,3.04464102036618,9.531413743200758,46.713681241184766,0.6641682281907141,3.7530647297137834,,0.5652419670420453,,,0.005372011818426,0.0005460701154028177,,,,,8,
Krabi (KB),KB4,7.902086117607117,99.11185263377725,,Sandstone,,47,,7.2,,557.1216166261137,,233.79965235840345,10.285949393128986,25.07610160187634,270.2115655853314,9.671038933999583,3.7530647297137834,,4.322438571497993,,,0.0008953353030710002,0.0009101168590046962,,,,,8,
Krabi (KB),KB5,7.932730656174178,99.21022993424634,,Sandstone,,47,,7.0,,8.5553907447928,,0.10004450240452611,1.3248302818350135,2.1533010629272917,0.25105782792665726,2.134082864876119,2.556672916311573,,0.03324952747306149,,,0.0019697376667562,0.00018202337180093923,,,,,8,
Trang (TR),TR1,7.40716,99.46569,,Sandstone,,52,,7.1,,15.373612507045445,,3.440660930520876,1.2013988891174656,2.048505414441838,5.331452750352609,0.6246096189881324,2.6550064900158645,,0.07161436686505551,,,,0.00036404674360187845,,,,,8,
Satun (ST),ST1,6.840862,100.15883,,Sandstone,,50,,7.7,,7.748204738504101,,1.700756540876944,0.4443530137831722,1.1352861919257446,0.22849083215796895,0.04476368936081616,4.097232237678803,,0.09463327050025193,,,0.0025069388485988004,0.00018202337180093923,,,,,8,
Phatthalung (PL),PL1,7.44647,100.13363,,Sandstone,,57,,8.0,,5.476292204146787,,3.1709757501260674,0.0012343139271754782,0.07485403463246669,0.20310296191819463,0.058296897772225686,1.8847268293322494,,0.08184499070292059,,,0.0010744023636852001,0.00018202337180093923,,,,,8,
Phatthalung (PL),PL2,7.327537992062457,99.98701242956552,,Sandstone,,46,,8.0,,5.520228086936502,,3.0317833989545524,0.0016457519029006377,0.12725185887519336,0.17771509167842028,0.05100978555069748,2.0486161188394014,,0.08184499070292059,,,0.00017906706061420003,0.00018202337180093923,,,,,8,
Phatthalung (PL),PL3,7.385103015863163,99.9467856697036,,Sandstone,,50,,6.9,,4.201809273831909,,0.9438981313818334,0.2666118082699033,0.5464344528170068,0.20592383638928066,0.0666250260254008,2.097782905691547,,0.07417202282452177,,,0.00017906706061420003,0.00018202337180093923,,,,,8,
Phatthalung (PL),PL4,7.693113177702969,100.0487368920784,,Sandstone,,41,,7.7,,6.4733741088515,,3.510257106106634,0.009874511417403826,0.12475672438744448,0.4795486600846262,0.036435561107641054,2.2452832662479842,,0.06649905494612297,,,0.0005372011818426001,0.00018202337180093923,,,,,8,
Yala (YL),YL1,5.847384,101.074805,,Granite,,80,,7.8,,7.406649517599618,,3.3319169061681304,0.018514708907632176,0.41668745945406455,0.16361071932299012,0.032271496981053506,3.2777857901430423,,0.16368998140584118,,,0.0007162682424568001,0.0014561869744075138,,,,,8,
