location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L
Jefferson,Heise Hot Springs,43.64283,-111.68768,,,,48.2,,,,173.47756970063662,,66.9863190012914,3.8587121991359803,12.17625630021458,63.94922425952045,7.412034145325838,13.258643521128606,0.35706051873198846,5.268771276500512,,,,,210.54847878724075,,,
Clark,Lidy Hot Springs 1,44.14558,-112.55494,,,,56.1,,,,7.004147355459007,,1.087440243527458,0.6409380785846533,1.6517790308897649,0.20592383638928066,1.061836352279825,1.770004326677243,0.00648414985590778,0.3376105866495474,,,,,242.13075060532685,,,
Clark,Lidy Hot Springs 2,44.14166,-112.5524,,,,52.3,,,,7.502501946532076,,1.2179330727507527,0.6722896523349106,1.6018763411347872,0.19464033850493653,1.0201957110139497,2.1961164793958385,0.006772334293948127,0.34528355452794623,,,,,247.39446257500788,,,
Madison,Green Canyon Hot Springs,43.79211,-111.44009,,,,44.0,,,,10.530107268804553,,0.21748804870549157,1.3886854556675583,3.597983931333898,0.02538787023977433,3.2687903393712263,1.8355600424801037,0.0021613832853025934,0.11509451817598207,,,,,78.95567954521528,,,
Fremont,Sturm Well,44.09325,-111.43534,1216.7616,,,31.4,,,,2.696471744017176,,1.4354211214562445,0.0019749022834807655,0.07984430360796446,0.0930888575458392,0.060378929835519464,0.8850021633386215,0.007204610951008645,0.023018903635196413,,,,,110.5379513633014,,,
Blaine,Condie Hot Springs,43.33278,-113.9179,,,,50.5,,,,10.33282162867493,,2.6968518039480953,0.47212507714462043,1.5245271720145714,0.3949224259520451,0.3435352904434728,4.228343669284524,0.012824207492795388,0.5754725908799103,,,,,84.21939151489632,,,
Butte,Greenhouse Well,43.60234,-113.24214,272.1864,,,36.3,,,,9.90425299070561,,1.4789187311973426,1.141699238839745,1.941214631468636,0.620592383638928,0.6037892983551947,3.8350093744673597,0.005763688760806916,0.24041966018982922,,,,,36.845983787767125,,,
Twin Falls,Eckart Office Well,42.6994,-114.9104,243.84,,,24.7,,,,9.1654686611599,,4.91522990074411,0.03052869779880683,0.14222266580168672,1.2976022566995769,0.9473245887986674,1.081669310747204,0.001296829971181556,0.10742155029758327,,,,,642.1728603010843,,,
Twin Falls,Campbell 1,42.64497,-114.78706,327.66,,,34.5,,,,6.552787235806358,,2.522861364983702,0.12351368031269286,0.586356604620989,0.6488011283497884,0.41640641265875494,1.933893616184395,0.008213256484149856,0.19693950887890266,,,,,115.80166333298241,,,
Twin Falls,Campbell 2,42.64432,-114.78294,320.04,,,34.4,,,,6.190859106790139,,2.4358661455015054,0.14276897757663035,0.6662009082289535,0.5641748942172072,0.33312513012700395,1.704448610874382,0.008069164265129682,0.20461247675730146,,,,,131.59279924202548,,,
Twin Falls,Miracle Hot Springs,42.69457,-114.85592,,,,58.4,,,,9.324216478632884,,5.567694046860584,8.228759514503188e-05,0.019961075901991115,0.9026798307475317,0.3539454507599417,1.2455586002543562,0.006628242074927953,0.048595463229859095,,,,,1179.071481208548,,,
Twin Falls,Driscoll Well,42.54479,-114.94855,445.008,,,37.5,,,,11.695022924993111,,6.481143851423648,0.01468833573338819,0.2794550626278756,1.4950634696755993,1.957110139496148,1.2783364581557866,0.027089337175792507,0.035807183432527756,,,,,126.32908727234445,,,
Twin Falls,Driscoll Spring,42.54348,-114.94897,,,,36.2,,,,11.68687731051054,,6.394148631941452,0.03238016868957005,0.2769599281401267,1.5232722143864597,1.9466999791796793,1.311114316057217,0.02737752161383285,0.048595463229859095,,,,,126.32908727234445,,,
Twin Falls,CSI Well 2,42.58318,-114.47496,451.104,,,38.1,,,,7.770952248676309,,4.13227292540434,0.007940752931495577,0.11228105194870003,0.7334273624823695,0.489277534874037,1.704448610874382,0.0015850144092219018,0.08440264666238685,,,,,505.3163490893778,,,
Bonneville,Comore Loma 6,43.44244,-111.90484,,,,20.9,,,,13.41982456201163,,4.204596401120864,0.6272371939930055,1.2675208343729727,3.5575091678420305,0.3350999375390381,2.9827850690301685,0.016781335028818442,0.40843463782312783,,,,,19.859985261606486,,,
Bonneville,Comore Loma 5,43.43774,-111.93018,,,,27.7,,,,13.430389964114847,,3.9037973804782466,0.7627936638551739,1.296561704675882,3.3938279266572633,0.26647720174890693,3.3761193638473337,0.013385278413544668,0.40336280605550623,,,,,14.064638382987683,,,
Bonneville,Blackhawk 2,43.43142,-111.94501,,,,26.8,,,,18.52989578583409,,5.412294486299537,0.9091256943015841,1.931922750636259,5.780761636107193,0.3849531542785759,3.638342227058777,0.01833194364553314,0.4422468496072719,,,,,11.917043899357827,,,
Bonneville,Blackhawk 1,43.43121,-111.94469,,,,25.1,,,,18.07812593914251,,5.316852031005618,0.8654926969759308,1.879946604121962,5.543627644569816,0.40669477409952115,3.6055643691573467,0.018376006930835735,0.428138819334856,,,,,13.432992946625959,,,
Jefferson,Heise Hot Springs,43.64283,-111.68768,,,,48.6,,,,14.75003605564369,,,,,,,14.75003605564369,,,,,,,,,,
