X,Y,OBJECTID,NAME,WATER_TEMP,DISCHARGE,GT_SILICA,GT_ALKALI,PH,CONDUCTIVITY,HARDNESS,CA_MG_L,MG_MG_L,NA_MG_L,K_MG_L,HCO3_MG_L,SO4_MG_L,CO3_MG_L,SIO2_MG_L,CL_MG_L,F_MG_L,E_ISO_18O,E_ISO_2H,RAD_ISO_3H,RAD_ISO_14C,GAS_NOBLE,GAS_DISS,GAS_EMITTED,REFERENCE,REF_LINK,COMMENTS,LOC_SOURCE,LATITUDE_DD,LONGITUDE_DD
826060.710899999,1007410.9552,1,South Redstone HS,54,120,109,,,,,72,21,49,1.5,,,,58,,,,,,,,,,"Springs; F.H. 2016. Tuya Terra Geo Corp and Geothermal Management Company; Inc.; Direct-use Geothermal Resources in British Columbia; Geoscience BC Report 2016-07; May 5; 2016",http://cdn.geosciencebc.com/project_data/GBCReport2016-07/GBC%20Report2016-07_SectionA_Summary.pdf,,Located from imagery based on publication location (Google Earth/ArcMap),63.40501,-125.9557
863603.567500001,565896.2097,2,Liard HS,52,70,134,,6.5,,,226,34.4,16.4,10.1,180,592,,94.1,16.7,,,,,,,,,"Springs; F.H. 2016. Tuya Terra Geo Corp and Geothermal Management Company; Inc.; Direct-use Geothermal Resources in British Columbia; Geoscience BC Report 2016-07; May 5; 2016",http://cdn.geosciencebc.com/project_data/GBCReport2016-07/GBC%20Report2016-07_SectionA_Summary.pdf,,Digitized using Google Earth from known location,59.4278,-126.09892
815862.703199999,583973.502499999,3,Portage Brule HS,48,15,,,,,,125,77,41,34,725,77,,,64,0.3,,,,,,,,"Southern; J.G.; Halstead; E.C.; Mineral and thermal waters of Canada. Paper 73-18; Geological Survey of Canada; 1973; Tuya Terra Geo Corp and Geothermal Management Company; Inc.; Direct-use Geothermal Resources in British Columbia; May 5; 2016; Crandall; J.T.; Sadlier-Brown; T.L.; Data on geothermal areas cordilleran Yukon; Northwest Territories; and adjacent British Columbia; Canada. Energy Mines and Resources Canada Open File 78-1; 1978","https://doi.org/10.4095/102477; http://cdn.geosciencebc.com/project_data/GBCReport2016-07/GBC%20Report2016-07_SectionA_Summary.pdf; https://doi.org/10.4095/8331",,Digitized using Google Earth from known location,59.63029,-126.90672
882034.3127,674476.080800001,4,Pool Creek HS,54.5,3,95,203,6.4,667,345,86.5,31.4,9,4.2,320,94.1,3,,5.6,0.6,-23,-177.9,<0.8,,"He; Ne; Ar; Kr; Xe",,,"EBA Engineering Consultants Ltd. Ground Based Geothermal Reconnaissance Larsen Creek/Beaver River Area Southeast Yukon. Unpublished. April 2010.; EBA Engineering Consultants Ltd. Noble gas data from multiple warm and hot springs in southern and central Yukon. Unpublished. March 31; 2010;EBA Engineering Consulting Ltd. Larsen Creek/Beaver River open water survey. Unpublished. July 9; 2009","""EBA FILE""",,Publication location data,60.38142,-125.56873
878957.377699999,662320.6099,5,Canyon Creek WS,15,,58,178,7.3,423,225,53.9,22,2.1,1,250,24,3,,1,0.3,-22.9,-175,6.3,,,,,"EBA Engineering Consultants Ltd. Ground Based Geothermal Reconnaissance Larsen Creek/Beaver River Area Southeast Yukon. Unpublished. April 2010.; EBA Engineering Consultants Ltd. Noble gas data from multiple warm and hot springs in southern and central Yukon. Unpublished. March 31; 2010;EBA Engineering Consulting Ltd. Larsen Creek/Beaver River open water survey. Unpublished. July 9; 2009","""EBA FILE""",,Publication location data,60.27582,-125.64786
876614.6447,632326.0448,6,Thorpe Creek WS,25.3,5,54,181.5,6.9,488,256,67.9,21,4.1,1.7,270,39.5,3,,4.6,1.3,-21.5,-172.6,1.2,,"He; Ne; Ar; Kr; Xe",,,"EBA Engineering Consultants Ltd. Ground Based Geothermal Reconnaissance Larsen Creek/Beaver River Area Southeast Yukon. Unpublished. April 2010.; EBA Engineering Consultants Ltd. Noble gas data from multiple warm and hot springs in southern and central Yukon. Unpublished. March 31; 2010;EBA Engineering Consulting Ltd. Larsen Creek/Beaver River open water survey. Unpublished. July 9; 2009","""EBA FILE""",,Publication location data,60.00999,-125.74744
872030.9608,653034.932399999,7,Crow River WS,29.2,,65,232,6.9,367,254,56.8,27.2,0.8,1.3,270,30.9,3,,0.4,0.6,-22.7,-174.4,<0.8,,,,,"EBA Engineering Consultants Ltd. Ground Based Geothermal Reconnaissance Larsen Creek/Beaver River Area Southeast Yukon. Unpublished. April 2010.; EBA Engineering Consultants Ltd. Noble gas data from multiple warm and hot springs in southern and central Yukon. Unpublished. March 31; 2010;EBA Engineering Consulting Ltd. Larsen Creek/Beaver River open water survey. Unpublished. July 9; 2009","""EBA FILE""",,Publication location data,60.19948,-125.78986
815902.1646,784649.049799999,8,Wildmint WS,29,50,98,,,,,125,25.5,1.4,2.5,,,,45,,,,,,,,,,"Springs; F.H. 2016. Tuya Terra Geo Corp and Geothermal Management Company; Inc.; Direct-use Geothermal Resources in British Columbia; Geoscience BC Report 2016-07; May 5; 2016",http://cdn.geosciencebc.com/project_data/GBCReport2016-07/GBC%20Report2016-07_SectionA_Summary.pdf,,Located from imagery based on publication location (Google Earth/ArcMap),61.42595,-126.57484
778950.8762,839043.096799999,9,Rabbitkettle WS,21,2,92,,,,,200,39.8,3.9,4.8,,,,40,,,,,,,,,,"Springs; F.H. 2016. Tuya Terra Geo Corp and Geothermal Management Company; Inc.; Direct-use Geothermal Resources in British Columbia; Geoscience BC Report 2016-07; May 5; 2016",http://cdn.geosciencebc.com/project_data/GBCReport2016-07/GBC%20Report2016-07_SectionA_Summary.pdf,,Located from imagery based on publication location (Google Earth/ArcMap),61.9415,-127.17908
775727.646,811764.5118,10,Hole-in-the-Wall HS,47,30,127,,,,,1.2,0,28,0.7,,,,83,,,,,,,,,,"Springs; F.H. 2016. Tuya Terra Geo Corp and Geothermal Management Company; Inc.; Direct-use Geothermal Resources in British Columbia; Geoscience BC Report 2016-07; May 5; 2016",http://cdn.geosciencebc.com/project_data/GBCReport2016-07/GBC%20Report2016-07_SectionA_Summary.pdf,,Publication location data,61.7,-127.283
