location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number
Jefferson,Heise Hot Springs,43.64283,-111.68768,,,,48.2,,,,,,1540.0,93.786,488.0,2267.0,712.0,809.0,2.478,206.0,,,,,4.0,,,,2
Clark,Lidy Hot Springs 1,44.14558,-112.55494,,,,56.1,,,,,,25.0,15.578,66.2,7.3,102.0,108.0,0.045,13.2,,,,,4.6,,,,2
Clark,Lidy Hot Springs 2,44.14166,-112.5524,,,,52.3,,,,,,28.0,16.34,64.2,6.9,98.0,134.0,0.047,13.5,,,,,4.7,,,,2
Madison,Green Canyon Hot Springs,43.79211,-111.44009,,,,44.0,,,,,,5.0,33.752,144.2,0.9,314.0,112.0,0.015,4.5,,,,,1.5,,,,2
Fremont,Sturm Well,44.09325,-111.43534,1216.7616,,,31.4,,,,,,33.0,0.048,3.2,3.3,5.8,54.0,0.05,0.9,,,,,2.1,,,,2
Blaine,Condie Hot Springs,43.33278,-113.9179,,,,50.5,,,,,,62.0,11.475,61.1,14.0,33.0,258.0,0.089,22.5,,,,,1.6,,,,2
Butte,Greenhouse Well,43.60234,-113.24214,272.1864,,,36.3,,,,,,34.0,27.749,77.8,22.0,58.0,234.0,0.04,9.4,,,,,0.7,,,,2
Twin Falls,Eckart Office Well,42.6994,-114.9104,243.84,,,24.7,,,,,,113.0,0.742,5.7,46.0,91.0,66.0,0.009,4.2,,,,,12.2,,,,2
Twin Falls,Campbell 1,42.64497,-114.78706,327.66,,,34.5,,,,,,58.0,3.002,23.5,23.0,40.0,118.0,0.057,7.7,,,,,2.2,,,,2
Twin Falls,Campbell 2,42.64432,-114.78294,320.04,,,34.4,,,,,,56.0,3.47,26.7,20.0,32.0,104.0,0.056,8.0,,,,,2.5,,,,2
Twin Falls,Miracle Hot Springs,42.69457,-114.85592,,,,58.4,,,,,,128.0,0.002,0.8,32.0,34.0,76.0,0.046,1.9,,,,,22.4,,,,2
Twin Falls,Driscoll Well,42.54479,-114.94855,445.00800000000004,,,37.5,,,,,,149.0,0.357,11.2,53.0,188.0,78.0,0.188,1.4,,,,,2.4,,,,2
Twin Falls,Driscoll Spring,42.54348,-114.94897,,,,36.2,,,,,,147.0,0.787,11.1,54.0,187.0,80.0,0.19,1.9,,,,,2.4,,,,2
Twin Falls,CSI Well 2,42.58318,-114.47496,451.10400000000004,,,38.1,,,,,,95.0,0.193,4.5,26.0,47.0,104.0,0.011,3.3,,,,,9.6,,,,2
Bonneville,Comore Loma 6,43.44244,-111.90484,,,,20.9,,,,,,96.6627,15.245,50.7997,126.1137,32.1897,182.0,0.1164624651,15.9691,,,,,0.3773,,,,2
Bonneville,Comore Loma 5,43.43774,-111.93018,,,,27.7,,,,,,89.7474,18.5397,51.9636,120.3112,25.5978,206.0,0.09289383219,15.7708,,,,,0.2672,,,,2
Bonneville,Blackhawk 2,43.43142,-111.94501,,,,26.8,,,,,,124.4274,22.0963,77.4276,204.928,36.9786,222.0,0.1272236889,17.2911,,,,,0.2264,,,,2
Bonneville,Blackhawk 1,43.43121,-111.94469,,,,25.1,,,,,,122.2332,21.0358,75.3445,196.5216,39.0671,220.0,0.1275294881,16.7395,,,,,0.2552,,,,2
Jefferson,Heise Hot Springs,43.64283,-111.68768,,,,48.6,,,,,,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,900.0,-99999.0,-99999.0,,,,,-99999.0,,,,2
Cassia,Raft River Geothermal 1,42.10207,-113.38434,,,,59.7,,,,,,567.7173,-99999.0,59.8891,268.196,23.543,28.0,1.573056607,39.8943,,,,,2.198,,,,2
Cassia,Raft River Geothermal 2,42.11042,-113.37519,,,,47.9,,,,,,418.222898,-99999.0,52.4889,353.4945,25.43,31.2,1.049292989,37.888,,,,,4.638,,,,2
Cassia,Raft River Geothermal 7,42.08359,-113.35865,,,,48.0,,,,,,1258.190865,0.102821228,199.2132,2197.115,-99999.0,27.0,2.571919468,150.2831,,,,,6.045,,,,2
Cassia,Raft River Geothermal  4,42.09787,-113.38541,,,,48.3,,,,,,542.5483931,-99999.0,59.7858,790.364,59.3235,36.4,1.57440888,38.821,,,,,7.1511,,,,2
Power,Indian Hot Springs,42.72589,-112.87381,,,,32.7,,,,,,126.0312937,19.5160635,80.8442,216.2705,19.8123,182.4,0.08197866492,11.4757,,,,,0.5021,,,,2
Cassia,Grush Dairy,42.23667,-113.36971,,,,54.7,,,,,,164.0064823,0.08780228277,0.8956,68.9659,24.0212,232.0,0.1489657166,2.4873,,,,,6.6983,,,,2
Cassia,Raft River USGS Well,42.107989,-113.39206,,,,44.7,,,,,,621.4665732,0.1430751443,70.7215,976.4575,56.472,78.0,1.495469839,24.8465,,,,,7.0441,,,,2
Cassia,Raft River Frasier Well,42.10776,-113.39186,,,,40.9,,,,,,598.2669242,0.2131025566,67.2164,857.849,54.4207,49.0,1.451830634,22.6093,,,,,5.8205,,,,2
Cassia,Raft River Crook Well,42.09656,-113.378,,,,26.0,,,,,,1186.916736,0.3122206045,157.7032,1679.69,56.5069,0.0,2.566232699,35.8802,,,,,6.0714,,,,2
Blaine,Milford Sweat,43.36414,-113.78943,,,,38.1,,,,,,42.95212893,13.68345709,66.4916,6.6052,49.9243,206.0,0.04474744582,8.4548,,,,,1.8508,,,,2
Blaine,Magic Hot Springs Landing Runoff,43.42818,-114.39941,,,,39.1,,,,,,333.0150388,1.293755551,13.1662,79.0661,52.9487,582.0,1.171279874,20.9311,,,,,10.5715,,,,2
Camas,Elk Creek 1,43.42341,-114.62857,,,,50.0,,,,,,90.17863795,-99999.0,2.3284,23.1733,42.5714,78.0,0.2106208495,1.6624,,,,,15.1266,,,,2
Camas,Elk Creek 2,43.42322,-114.62865,,,,55.5,,,,,,91.23479441,-99999.0,2.2656,23.1426,42.5971,76.0,0.2144053199,1.5699,,,,,15.1678,,,,2
Camas,Barron Well,43.29241,-114.91002,,,,38.0,,,,,,156.2478286,-99999.0,16.8982,9.4827,210.9314,151.0,0.3590837251,2.9663,,,,,7.0787,,,,2
Camas,Wardrop Hot Springs (Gonzales' House),43.3829,-114.93224,,,,67.5,,,,,,56.01399062,-99999.0,1.1773,5.0593,11.493,161.0,0.0508581831,0.8773,,,,,3.3517,,,,2
Blaine,Magic Hot Springs Landing Well,43.32777,-114.39941,,,,75.0,,,,,,310.5368593,1.3855,22.3443,74.1127,50.3384,588.0,1.182196732,19.7856,,,,,9.9489,,,,2
Elmore,Prince Albert Hot Springs,43.12966,-115.33841,,,,57.7,,,,,,55.2755,-99999.0,0.2571,2.5544,8.4242,0.0,0.01366291286,2.6707,,,,,6.9537,,,,2
Cassia,Oakley Warm Spring,42.17334,-113.86163,,,,46.9,,,,,,85.722,-99999.0,2.2317,52.5695,21.3954,90.0,0.03451001288,2.1833,,,,,7.6095,,,,2
Cassia,Richard Austin Well 1,42.08533,-113.93984,,,,45.7,,,,,,105.9659,0.0563,2.1374,16.1659,22.8039,171.0,0.06838839763,1.8883,,,,,2.4245,,,,2
Cassia,Marsh Creek Well,42.47663,-113.5077,,,,59.6,,,,,,107.7763,0.4056,9.0803,51.7732,50.2555,104.0,0.06736034424,4.2757,,,,,13.1831,,,,2
Twin Falls,1000 Springs (Sliger's Well),42.70399,-114.85699,,,,72.0,,,,,,136.4428,-99999.0,0.9431,50.4457,30.057,178.0,0.05414180328,1.5886,,,,,24.2219,,,,2
Twin Falls,Banbury Hot Springs Well,42.68841,-114.8268,,,,58.8,,,,,,96.7711,-99999.0,0.8809,16.8557,23.4991,208.0,0.03476362633,1.6493,,,,,11.3885,,,,2
Twin Falls,Banbury Hot Springs,42.68841,-114.8268,,,,58.5,,,,,,94.9018,-99999.0,1.0427,16.7585,23.5429,141.0,0.03425273742,1.5985,,,,,11.3566,,,,2
