location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number
Aarbergen-Rückershausen,Antoniussprudel,50.26610648007918,8.058212430817314,3,Quartzite,Devonian,12,,,,,,228.0,54.3,258.0,36.6,12.7,1633.0,0.3,12.5,0.8,0.4,10,2,,,31.1,,
Aarbergen-Rückershausen,Antoniussprudel,50.26610648007918,8.058212430817314,3,Quartzite,Devonian,12.6,,,,,,202.6,55.4,242.7,36.1,23.2,1470.1,,,,,10,,,,,,
Alheim-Heinebach,Wichte I,51.03282021349825,9.586404277853578,168,Sandstone,Triassic,11.1,226.0,7.27,,,6.4,8.1,11.9,22.7,9.5,21.8,106.8,,2.5,,,0.03,0.007,,3.5,,,
Alheim-Licherode,Niederellenbach (old),51.02900440966591,9.576376738662239,120,Sandstone,Triassic,9.2,137.0,7.69,,,8.4,6.2,5.4,9.7,5.8,5.3,61.0,,4.2,,,<0.01,<0.005,,1,,,6.0
Alheim-Niederellenbach,Wichte II,51.04221946165758,9.594366113423424,178.5,Sandstone,Triassic,11.3,254.0,7.56,,,6.6,6.9,14.7,26.3,9.7,17,135.1,,2.2,,,0.1,0.047,,2,,,6.0
Alsbach-Hähnlein,Tiefbrunnen I Hähnlein-West,49.75058886330204,8.547025714152767,435,Unconsolidated rocks,Neogene,17.2,,,,,,5100.0,224.0,1360.0,11100.0,0,144.5,,,,,252,,,,,,6.0
Altenstadt (Hesse),Altenstadt I,50.29315595037103,8.937431715009376,372,"Arkose, Sandstone, Conglomerate",Permian,18,,,,,,174.7,3.65,4.01,74.45,9.6,353.8,,,,,,,,,,,6.0
Bad Arolsen,Schlossbrunnen,51.37823192486946,9.021546491312492,401,Pelite,Permian,14.3,,,,,,55.0,85.2,320.2,13.2,985.6,286.6,0.16,3.27,6,0.3,1.95,0.04,1.5,3,27.3,,6.0
Bad Arolsen,Schlossbrunnen,51.37823192486946,9.021546491312492,401,Pelite,Permian,15.1,1873.0,7.11,44.0,,<0.1,54.6,84.2,290.0,8.4,930,281.0,0.039,3.3,6.2,0.06,3.3,0.036,1.7,<0.3,29.2,,6.0
Bad Arolsen-Braunsen,Untersuchungsbohrung,51.35166637047607,9.042273994768735,450,?,Permian,15,,,,,,32.0,52.1,233.9,14.2,649.9,207.0,,,,,,,,,,,6.0
