location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L
Weixi–Qiaohou Fault,MD,26.4357,99.6268,,,,34.0,4590.0,7.19,,,,760.39,41.52,366.67,789.3,1564.65,34.96,,11.87,,,,,2.63,0.0,,
Weixi–Qiaohou Fault,MD,26.4357,99.6268,,,,34.0,4590.0,7.19,,,,790.01,35.2,352.78,825.98,1538.49,663.48,,13.32,,,,,2.93,4.29,,
Weixi–Qiaohou Fault,MD,26.4357,99.6268,,,,34.0,4590.0,7.19,,,,804.75,36.66,375.9,814.33,1580.14,719.29,,13.15,,,,,3.08,2.6,,
Weixi–Qiaohou Fault,MD,26.4357,99.6268,,,,34.0,4590.0,7.19,,,,735.2,31.54,421.78,764.47,1504.11,712.18,0.217,14.3,9.662,,2.3e-05,0.139,2.66,0.05,,
Weixi–Qiaohou Fault,NJ,26.2537,99.9877,,,,78.0,1200.0,8.24,,,,232.36,14.12,70.36,17.21,151.68,0.708718,,34.8,,,,,5.87,2.96,,
Weixi–Qiaohou Fault,NJ,26.2537,99.9877,,,,78.0,1200.0,8.24,,,,263.95,0.84,63.78,14.93,4.31,,,8.7,,,,,4.2,0.0,,
Weixi–Qiaohou Fault,NJ,26.2537,99.9877,,,,78.0,1200.0,8.24,,,,201.07,13.67,62.35,16.59,142.0,655.41,,28.98,,,,,4.58,3.52,,
Weixi–Qiaohou Fault,NJ,26.2537,99.9877,,,,78.0,1200.0,8.24,,,,201.07,13.67,62.35,16.59,142.0,655.41,,28.98,,,,,4.58,3.52,,
Weixi–Qiaohou Fault,NJ,26.2537,99.9877,,,,78.0,1200.0,8.24,,,,213.98,15.01,69.9,16.22,144.26,708.58,,31.53,,,,,5.04,3.98,,
Weixi–Qiaohou Fault,NJ,26.2537,99.9877,,,,78.0,1200.0,8.24,,,,216.78,13.86,68.26,16.7,147.21,331.35,,31.06,,,,,5.12,3.15,,
Weixi–Qiaohou Fault,NJ,26.2537,99.9877,,,,78.0,1200.0,8.24,,,,209.98,15.49,86.4,20.12,149.8,,1.145,31.93,0.988,,1.4e-05,0.00967,4.26,4.24,,
Weixi–Qiaohou Fault,EYXX,26.2519,99.9913,,,,72.0,2800.0,6.62,,,,640.11,7.18,45.65,26.69,514.88,1287.3,,36.47,,,,,7.43,0.43,,
Weixi–Qiaohou Fault,EYXX,26.2519,99.9913,,,,72.0,2800.0,6.62,,,,640.39,6.56,47.66,26.41,535.86,1180.96,,37.21,,,,,8.73,2.75,,
Weixi–Qiaohou Fault,EYXX,26.2519,99.9913,,,,72.0,2800.0,6.62,,,,653.37,6.37,40.66,26.61,543.11,1274.03,,36.21,,,,,9.4,2.53,,
Weixi–Qiaohou Fault,EYXX,26.2519,99.9913,,,,72.0,2800.0,6.62,,,,638.76,7.4,60.55,30.34,550.42,1417.75,0.795,36.75,2.396,,5.1e-05,0.137,8.03,0.08,,
Weixi–Qiaohou Fault,HYS,26.2392,99.9926,,,,74.0,1505.0,6.91,,,,293.99,7.76,46.63,18.46,210.18,,,44.3,,,,,6.8,0.708887,,
Weixi–Qiaohou Fault,HYS,26.2392,99.9926,,,,74.0,1505.0,6.91,,,,295.16,8.72,46.16,17.19,210.99,598.04,,47.46,,,,,6.32,1.2,,
Weixi–Qiaohou Fault,HYS,26.2392,99.9926,,,,74.0,1505.0,6.91,,,,250.43,7.64,43.97,14.84,187.35,664.15,,38.83,,,,,5.42,0.0,,
Weixi–Qiaohou Fault,HYS,26.2392,99.9926,,,,74.0,1505.0,6.91,,,,273.13,8.49,43.15,16.26,200.82,672.22,,42.69,,,,,5.68,0.0,,
Weixi–Qiaohou Fault,HYS,26.2392,99.9926,,,,74.0,1505.0,6.91,,,,274.43,8.39,50.7,16.49,209.2,660.94,,42.2,,,,,7.05,1.29,,
Weixi–Qiaohou Fault,HYS,26.2392,99.9926,,,,74.0,1505.0,6.91,,,,282.26,8.37,59.17,16.91,219.08,318.77,,42.53,,,,,6.86,1.47,,
Weixi–Qiaohou Fault,HYS,26.2392,99.9926,,,,74.0,1505.0,6.91,,,,280.36,9.26,67.12,17.87,233.87,778.36,1.631,43.52,1.364,,0.00013700000000000002,0.0755,6.59,0.06,,
Weixi–Qiaohou Fault,XSK,26.0843,100.0252,,,,92.0,962.0,8.13,,,,165.8,3.41,38.22,12.34,238.91,,,17.9,,,,,6.82,241.23,,
Weixi–Qiaohou Fault,XSK,26.0843,100.0252,,,,92.0,962.0,8.13,,,,164.74,3.11,40.81,11.82,244.45,272.25,,17.15,,,,,6.05,0.0,,
Weixi–Qiaohou Fault,XSK,26.0843,100.0252,,,,92.0,962.0,8.13,,,,169.58,3.46,36.63,11.94,239.3,269.56,,18.21,,,,,6.1,0.0,,
Weixi–Qiaohou Fault,XSK,26.0843,100.0252,,,,92.0,962.0,8.13,,,,171.14,3.27,33.29,11.5,241.03,213.38,,18.63,,,,,7.86,0.08,,
Weixi–Qiaohou Fault,XSK,26.0843,100.0252,,,,92.0,962.0,8.13,,,,174.91,3.42,47.56,14.39,255.71,282.06,1.172,18.95,0.881,,4.4999999999999996e-05,0.032,7.4,0.05,,
