WGS84_latitude,WGS84_longitude,total_dissolved_solids_in_mmol/L_log_gauss,Na_in_mmol/L_log_gauss,Mg_in_mmol/L_log_gauss,Ca_in_mmol/L_log_gauss,Cl_in_mmol/L_log_gauss,SO4_in_mmol/L_log_gauss,HCO3_in_mmol/L_log_gauss,Li_in_mmol/L_log_gauss,K_in_mmol/L_log_gauss,Sr_in_umol/L_log_gauss,Fe_in_mmol/L_log_gauss,F_in_umol/L_log_gauss
34.051296,-95.99819,0.7837069,0.7749232,0.8995612,0.90027255,0.78574944,-0.32538855,-1.0223433,-0.019196402,0.0332041,0.0014481649,-0.02371543,-0.02366803
41.3795,-107.46246,-0.7738466,-0.8468076,-0.43980822,-0.47328702,-0.80700314,0.8317446,0.4953365,0.015615167,0.046950813,-0.01655811,-0.2844026,-0.016144434
42.305542,-106.793724,-0.63937354,-0.66529363,-0.28841555,-0.35896406,-0.79629743,1.3997462,0.646732,-0.029570395,0.048662692,-0.0145139955,-0.17411096,-0.027238958
42.041058,-109.60327,-0.762471,-0.7259066,-1.0856535,-1.179741,-0.75201696,-0.17246124,1.0158029,-0.28363332,-0.24191321,-0.06957074,-0.098742716,0.048397567
35.484077,-101.38887,-0.40966,-0.43658778,-0.56121045,-0.4844833,-0.39681354,-0.23371734,0.3975621,0.00722078,0.02164755,0.0037524975,0.30971432,-0.023888245
37.17847,-100.32203,-0.055134248,-0.1019261,0.06777532,0.07544995,-0.048676893,0.8253441,0.01456853,0.034710858,0.088797055,0.004560816,0.021672595,-0.025966384
36.180378,-97.291115,0.9220814,0.90252477,1.1424412,1.0440371,0.9470036,0.040925268,-0.96508527,-0.018455844,0.0686786,0.018663997,-0.025788078,-0.024143873
41.150654,-106.09209,-0.7687343,-0.771332,-0.9346983,-0.99624175,-0.780451,-0.18033832,0.9250065,0.013240732,-0.06396608,-0.014607124,0.04636596,-0.018131195
34.27445,-96.66879,0.6170569,0.6253205,0.7166821,0.6691948,0.62850714,-0.011660063,-0.5884196,-0.020031642,0.015842076,-0.007599519,0.016699273,-0.022400128
35.274315,-97.124245,0.6150375,0.5786922,0.75852996,0.6774072,0.637783,0.21156542,-0.4777899,0.0039358023,0.042534277,0.01994014,0.047908388,-0.024110489
37.200077,-87.47701,1.3812431,0.7846309,1.8227154,2.1069314,1.5974326,-0.44007036,-0.93295586,-0.030467536,0.9261274,1.7062316,0.72366816,0.014167048
42.983704,-108.33999,-1.1332992,-1.1093372,-1.1454178,-1.389617,-1.1556665,-0.24048895,0.97752833,-0.030190745,-0.70746154,0.0059698117,-0.12361556,-0.014051379
41.642246,-109.418144,-0.58261114,-0.63147396,-0.35167664,-0.4385461,-0.68051624,1.1426572,0.853938,-0.62057,0.13360232,-0.015372922,0.035553016,0.011384167
37.22725,-103.55829,-0.76667297,-0.7694656,-1.143467,-1.1266806,-0.70051,-1.1075217,0.65373355,3.0903495e-05,-0.1227695,-0.015293341,0.091580026,-0.026737168
42.83009,-107.66746,-0.9323121,-0.9509136,-0.8783391,-1.0503432,-0.97806525,-0.004677027,0.98813695,-0.018511666,-0.2606154,-0.009555422,0.015675612,-0.018975373
40.88485,-109.21608,-0.8531867,-0.8898655,-0.41754222,-0.5043011,-0.94991153,0.8278837,0.43505588,-0.24736202,0.0957033,-0.17272285,-0.09285884,0.016033884
35.282722,-96.511475,0.75947434,0.7453798,0.9131096,0.87703973,0.7657893,-0.13500883,-1.0838529,-0.014304378,0.07194793,0.026950862,0.06491264,-0.026260441
36.501312,-97.929474,0.49382594,0.4861306,0.6286792,0.5426127,0.515303,0.43643126,-0.4871858,-0.0034432912,0.06456478,-0.0030062718,0.03588453,-0.02460977
43.878395,-108.271324,-1.0577579,-1.167361,-0.45484483,-0.4639277,-1.2230725,1.2345947,0.09489342,-0.022143016,-0.07616271,0.0042329784,0.009430349,-0.021609457
35.771584,-100.57903,-0.084514,-0.1064762,-0.027515274,-0.049538273,-0.104296066,0.74433297,0.22864908,-0.0147351045,0.036726438,-0.025285447,-0.0093723675,-0.02308684
41.961765,-107.85618,-0.94034386,-0.94055176,-1.1495254,-1.2073275,-0.91257805,-0.47036922,0.8094325,0.005396986,-0.17069623,-0.0046742116,0.10378361,-0.022844281
37.349316,-96.78043,1.3344188,1.0761926,1.4938718,1.4980478,1.4195584,-0.23591292,-1.3449203,-0.017155409,0.0096108215,0.017333852,0.074939005,-0.030363405
38.699177,-97.90075,1.1123594,1.146152,1.2554375,1.1754551,1.1328775,0.14552426,-1.0883895,-0.018740566,0.27359584,0.011538467,0.03568145,-0.023765152
36.199074,-100.46601,0.035900284,0.0057017663,0.18443847,0.11853923,0.026253974,0.8484994,-0.07415654,-0.012690675,0.02471871,-0.024652883,0.013829935,-0.021789122
35.3176,-100.260376,0.075336844,0.058972668,0.07832217,0.061822414,0.048092067,0.5235305,0.23268123,-0.015288448,0.026560128,0.00091753056,-0.09887718,-0.026193291
32.412296,-95.25979,0.3950706,0.40467376,0.32044742,0.37947395,0.39890832,-0.68903625,-0.47850516,-0.009908916,0.07197635,0.026728142,0.0788103,-0.023543516
43.24668,-106.880684,-0.76788867,-0.800049,-0.37606624,-0.40499267,-0.9791801,1.4124546,0.38052258,-0.05533619,-0.019292234,-0.0066457097,-0.0017694844,-0.026375223
45.838,-108.03307,-0.30928084,-0.3601248,-0.29720455,-0.26059806,-0.4766321,1.87566,0.2994012,0.16664565,0.16678084,-0.037441876,0.0113746375,-0.031021472
36.16146,-101.52066,-0.38516173,-0.43293443,-0.45398664,-0.37744707,-0.36524078,-0.023802405,0.29354328,0.042271845,0.116126284,0.025452355,0.33028775,0.11567773
35.602142,-98.555695,0.59225863,0.5827315,0.74354833,0.5987416,0.6038333,0.4296131,-0.33499297,-0.017181633,-0.016006706,-0.015239999,0.020258352,-0.025729774
32.362926,-97.630394,-0.10603376,-0.10400135,-0.32451293,-0.27634373,-0.09374062,-0.6424166,0.2980851,-0.016363686,0.043483533,-0.019319784,0.006734641,-0.024269078
34.936825,-96.139725,0.83004177,0.8315156,0.9469834,0.9446135,0.82984257,-0.26265052,-1.0883955,-0.01788826,0.053203814,0.010459706,0.3052387,-0.025165988
35.34573,-97.566864,0.577923,0.55094904,0.7218939,0.649843,0.60339457,0.22225316,-0.5044892,0.0013655633,0.048817135,0.02663079,-0.0673529,-0.024519257
41.73209,-107.85774,-1.1361401,-1.1247448,-1.1414961,-1.2224692,-1.0591513,-0.37435353,0.5947808,0.058732335,-0.22358924,-0.014715189,0.016349584,-0.009307142
34.171906,-95.77494,0.84189254,0.84768015,0.9538832,0.94580257,0.84506744,-0.32541677,-1.0760939,-0.018563543,0.026875466,0.011695555,0.034581516,-0.021669641
32.36257,-96.67531,0.24343324,0.24568002,0.17579323,0.18462877,0.24458481,-0.46868438,-0.09822084,-0.0129998205,0.002475384,-0.0057477984,-0.15103531,-0.023213001
40.766052,-98.913216,0.976283,1.0629553,1.0103847,0.9886837,1.0038798,0.41102773,-0.45571032,0.060096357,0.6896132,0.06350808,-0.049182743,-0.018121779
41.06155,-107.64703,-0.64365524,-0.67611927,-1.3788877,-1.4609544,-0.6320657,-1.3042471,1.106013,-0.07652473,-0.5082847,-0.30974406,0.15887888,-0.051966876
33.01637,-97.75815,0.02930502,0.044494618,-0.12630679,-0.1095185,0.037643667,-0.396495,0.29007626,-0.008876231,-0.012322921,-0.019097254,0.017689824,-0.023805039
36.591408,-100.6507,-0.13581245,-0.16581467,-0.10347114,-0.12036048,-0.14909136,0.46610752,0.33043864,0.003471995,0.04047455,-0.0036179393,0.040245175,-0.024700224
38.54833,-104.12826,-0.54557616,-0.56400573,-1.105418,-1.1779133,-0.55225295,-1.1886675,1.2636864,-0.0052479925,-0.15225074,-0.01940241,-0.08017938,-0.030131904
34.785275,-97.15914,0.50538594,0.48356447,0.6172088,0.56184113,0.5227424,0.17598961,-0.5537671,-0.015266231,0.06467471,0.0035795472,0.043058712,-0.024822677
42.7913,-108.34544,-0.8919262,-0.8704651,-1.1604024,-1.3329417,-0.8827874,-0.9478639,1.0265881,-0.008671447,-0.33513674,-0.0010934777,0.07079029,-0.03249423
38.78588,-97.42785,0.9140577,0.95296043,1.0527976,0.9934289,0.9310831,0.22877689,-0.8851637,0.046612397,0.4923869,0.07522522,-0.05327394,-0.020525679
35.378277,-99.96875,-0.057922393,-0.06747253,-0.06613904,-0.076125585,-0.07227971,0.5101172,0.31489268,-0.0117377015,0.025966015,-0.017869608,0.027074046,-0.024306789
38.124992,-102.191246,-0.10645631,-0.15983142,-0.008130755,-0.074267946,-0.097584784,0.7349525,0.5664959,-0.01666892,0.041537397,-0.020361427,0.095387764,-0.018781047
34.487488,-96.31596,0.43887872,0.42007065,0.48574758,0.5228531,0.44037324,-0.24433905,-0.5339494,0.023584396,0.070311144,0.067904465,0.001374954,-0.031584326
40.18204,-102.74206,0.30639496,0.4075299,0.22999865,0.09972541,0.23431575,1.3210315,-0.077838145,-0.010356299,0.06601822,-0.04806402,-0.07010008,-0.025667723
41.040325,-107.15983,-0.47022182,-0.4875779,-0.8206447,-1.0132746,-0.53350794,-0.45335686,1.5623038,0.0033071556,-0.04895678,-0.003365951,-0.96288157,-0.01416476
35.101585,-99.752754,-0.061483704,-0.078785345,-0.059108675,-0.06004308,-0.06922174,0.29634842,0.19177426,-0.011954195,0.052307636,-0.014472201,-0.05151099,-0.021854268
36.498543,-97.52912,0.4692994,0.40923142,0.6367636,0.59270644,0.49708033,0.26291546,-0.5522345,0.048542023,0.19330938,0.0670659,0.017582327,-0.031865243
41.71615,-108.10991,-0.99914885,-0.987572,-1.0487729,-1.1707937,-0.94663024,-0.47859767,0.6608769,-0.011197488,-0.23910673,-0.011280912,0.09496656,-0.027374098
41.760986,-105.629196,-0.22569038,-0.26573417,-0.09642067,-0.1301432,-0.33539155,1.5322443,0.4786107,-0.0034189133,0.06329251,-0.020345204,0.0059858835,-0.024496619
32.112267,-95.20787,0.43456042,0.44760346,0.33297268,0.43320757,0.4394067,-1.0974218,-0.7554985,-0.007673176,0.07176567,0.03103649,0.06774625,-0.027579898
47.500305,-102.777115,1.8408234,1.9628236,0.7691014,1.1340442,1.7549777,0.3314116,-0.30709493,-0.0013262752,0.38343906,0.0058319718,-0.10895391,-0.018303249
39.395817,-103.347305,-0.44216534,-0.47060877,-0.31921053,-0.37568778,-0.47649783,0.6729539,0.40906426,-0.0058655944,-0.004001456,-0.009587851,0.02804717,-0.02189345
40.00263,-104.40657,-0.4998327,-0.60042787,-0.38523927,-0.33805653,-0.5131444,0.6551473,0.48907933,0.050594464,0.104535505,0.0065146433,0.2955273,-0.028366243
36.23283,-98.16352,0.45881003,0.41665688,0.6136802,0.5630776,0.48656598,0.36941525,-0.24197367,0.042705875,0.15125601,0.053509653,-0.058775246,-0.025681978
34.983555,-96.7516,0.8511724,0.8381151,0.9881258,0.92041296,0.8700214,0.046869326,-0.73160374,-0.03169803,0.0539245,-0.016663538,0.26202065,-0.02116924
38.610615,-99.71543,1.1813161,1.1716913,1.1220057,1.0838497,1.1970952,0.20207556,-0.7572961,-0.009914269,0.0025230043,-0.0066641644,0.107249126,-0.02540234
35.84888,-93.54835,1.5933757,1.1304102,2.0055995,1.9942763,1.7740673,-0.6958923,-1.7390311,-0.04353292,0.039974906,0.019541467,0.12734027,-0.029750926
39.320583,-101.01815,0.5720132,0.61049587,0.5778837,0.46146,0.5591466,0.970887,-0.0736944,-0.003863768,0.09116676,-0.018793808,-0.073059924,-0.021493465
28.954733,-95.96076,-0.2099758,-0.21644367,-0.7962328,-0.42357305,-0.16437268,-1.2482398,0.24520302,0.00799701,0.14922374,-0.0036240048,-0.0431733,-0.031453513
41.35508,-100.043015,1.4936411,1.4324559,1.2133322,1.3032573,1.4928198,0.19445486,-0.63160133,-0.01568249,0.11151774,0.0019525159,-0.074035004,-0.021875167
43.480988,-104.72469,-0.6048205,-0.6843338,-0.17712525,-0.36442953,-0.6244317,0.88067913,0.6419064,-0.019459689,0.21000205,-0.020409327,-1.0400985,-0.04342575
33.567493,-95.93856,0.6847976,0.6863869,0.7845216,0.75543714,0.68018436,-0.30822232,-0.63891894,-0.013349822,0.0010864923,0.019557133,-0.11109605,-0.020936888
33.34898,-95.860214,0.67435175,0.66870284,0.7529151,0.72559386,0.6694867,-0.17602484,-0.5470557,-0.018881448,0.043052055,0.02647496,-0.08396898,-0.0179624
34.3488,-97.17396,0.19714461,0.16453812,0.19594586,0.24636239,0.20876835,-0.057190202,-0.22105968,0.037297178,0.087689854,0.05088053,0.016574137,-0.031891294
36.46632,-97.20484,0.62759644,0.5621546,0.8945723,0.8374623,0.6744363,0.20081313,-0.60248065,0.11625001,0.48501408,0.08892202,-0.016150799,-0.026498452
37.938183,-103.113884,-0.3952623,-0.42491806,-0.28213295,-0.2786017,-0.40391782,0.6636291,0.2292967,0.014866924,0.050430655,-0.0059688096,-0.10230723,-0.022569997
33.567333,-99.58421,0.055554997,0.013575538,-0.022622216,-0.025256876,0.06898168,-0.05549743,0.3142974,-0.013976064,0.15104516,-0.004309999,0.10701921,0.28592288
35.134464,-100.28742,-0.23682262,-0.23290884,-0.530941,-0.5469166,-0.27571845,-0.7011084,0.81602156,-0.01734942,0.0061438004,-0.010190389,0.0034766416,-0.02353824
40.351887,-110.003426,-2.6618364,-2.619295,-2.1077878,-2.0933843,-2.525732,-1.7372369,-0.6989904,-0.017724786,-2.5446763,-0.036573067,-0.34028623,-0.22992922
29.393553,-95.38997,-0.15250926,-0.13371955,-0.46007442,-0.358165,-0.11117151,-1.2487096,0.071458004,-0.026084557,0.07527783,-0.06268889,0.040636692,-0.02706683
42.578773,-103.289635,0.58207166,0.7231497,0.31614536,0.3145592,0.5693995,1.3478881,-0.21691743,0.009859644,0.20321512,-0.03669535,0.4588508,-0.025832705
40.943512,-31.544275,0.12811649,0.074099,0.051152643,0.08918847,0.14678198,0.3153658,0.31206766,-0.025317809,0.500918,-0.074000105,-0.22442345,-0.03284237
46.074673,-103.30768,1.6074094,1.8229902,0.48637897,0.70787066,1.5052025,0.7564169,-0.37366107,-0.008912304,0.081741676,-0.022063898,-0.0064535704,-0.020746252
37.55388,-98.78688,0.59803134,0.61669356,0.6579545,0.56932265,0.6111998,0.5311779,-0.7232422,-0.0074266354,0.109277174,-0.011430442,0.034828845,-0.026228387
40.967663,-105.80402,-0.7139736,-0.6780832,-0.84498787,-1.0591528,-0.73877865,-0.4158851,1.0807729,-0.034910217,-0.21111228,-0.051206112,-0.009719292,-0.020948855
36.763718,-95.63857,1.5876597,1.270802,1.8470519,1.788107,1.7006736,-0.24567619,-1.1174097,-0.04534009,0.047431815,-0.0037422234,0.059212305,-0.022788769
42.683186,-108.23521,-1.3286138,-1.4177811,-0.6174775,-0.68644375,-1.3106885,0.55652326,0.1560551,-0.024474313,-0.324757,-0.0003151568,-0.095208175,-0.04244783
44.768566,-104.86651,0.44305047,0.6254468,0.17424071,0.10964332,0.35230574,1.7008018,-0.0873288,0.023191806,0.15243322,-0.028499322,-0.0814999,-0.029622853
37.16837,-96.859344,1.1801963,1.0689515,1.4376007,1.3909892,1.2436842,-0.1323746,-1.4796339,-0.02910161,0.09114439,-0.0030757172,0.37176034,-0.030029213
32.61777,-94.488,0.81760806,0.7495141,0.75395817,0.99346334,0.838811,-0.579238,-0.83640933,-0.014158938,0.07852147,-1.7334507e-05,2.1557918,-0.026724536
33.83902,-94.75389,1.0391896,0.9026867,1.213984,1.2097617,1.0844421,-0.48572442,-1.17805,-0.034432877,0.017612234,0.0008232174,0.038623903,-0.024708606
38.340916,-103.41834,-0.48364636,-0.5074428,-0.9510233,-0.7833392,-0.49904904,-0.8213368,0.9771395,0.13421841,-0.026205627,0.27653205,-0.0066327895,-0.08744693
43.363617,-96.516846,-1.0984639,-1.1034375,-0.7372373,-0.8512434,-1.0348341,0.071219765,0.43325594,-0.004899166,-0.18632506,-0.014068865,-0.30426896,-0.023780381
33.194225,-97.035774,0.22648789,0.23493841,0.18535757,0.1893827,0.23387772,-0.17376529,-0.1755597,-0.015033321,0.011210955,-0.01550064,-0.031068962,-0.023022288
39.97199,-99.752304,0.80146927,0.8691836,0.7699972,0.7009647,0.8117007,0.59534067,-0.58022165,0.0249076,0.33674118,0.015326817,-0.019936875,-0.027005076
38.889614,-104.28501,-0.28514567,-0.3122347,-0.2525818,-0.3407139,-0.32057032,0.54387414,0.8685512,-0.009077926,0.07002483,-0.022232493,-0.08175514,-0.01979571
40.77819,-105.5878,-0.7839448,-0.80270785,-0.41116244,-0.43602166,-0.890888,0.9774551,0.0801472,-0.041124344,-0.013615824,-0.016368803,-0.03741937,-0.024163872
39.339817,-97.82486,1.63401,1.3601418,1.5596604,1.6417533,1.6973625,-0.12163811,-0.9899324,-0.020567538,0.03936621,0.008541104,0.07549996,-0.024287594
41.478397,-89.696556,-2.6668506,-2.9015996,-1.2109964,-1.2676045,-2.6059442,-0.2447871,-0.75222045,-0.5303819,-2.0988963,0.05489045,-0.63378245,-0.22006428
37.10633,-103.79377,-0.09041832,-0.16568449,0.1302639,-0.04008407,-0.06929046,1.0866987,-0.3619569,0.49782196,0.26991776,-0.008747495,-0.089450456,-0.028990481
35.98386,-97.242,0.6399799,0.6008536,0.8374053,0.75907654,0.67596895,0.25636157,-0.47768846,0.030986652,0.13831516,0.05272058,-0.06999141,-0.024057401
39.930637,-104.76609,-0.31101754,-0.39093927,-0.09443303,-0.16707008,-0.36755574,1.1614777,0.6787549,-0.023731861,0.04030007,-0.027661795,0.031313874,-0.021933645
41.698067,-107.177864,-1.5397588,-1.4271262,-1.9163772,-2.1338,-1.5030202,-1.4865202,0.84972435,-0.028319366,-1.5420243,0.011436727,-0.7303315,-0.018193914
41.04773,-106.57092,-0.5126226,-0.54393864,-1.0618289,-1.2041308,-0.55269396,-1.302434,1.4527403,-0.0005005576,-0.17379193,-0.0018675056,0.06258027,-0.033501007
34.956722,-94.72468,0.6941476,0.6487458,0.81744474,0.8648296,0.6978238,-0.08555411,-0.4693347,0.04473173,0.38398224,0.69851667,0.03092542,-0.024384597
39.33712,-100.13601,1.1606243,1.2325153,1.0350636,0.81314254,1.1878176,0.69951046,-0.23977345,1.7653,1.0974633,0.57653165,-0.09576047,-0.03717473
37.223675,-99.19718,0.5144007,0.52779025,0.62586236,0.5319613,0.5222136,0.49080703,-0.21777074,-0.015491749,0.056336015,0.0010843263,-0.042576488,-0.025040843
34.19262,-99.07255,-0.18401735,-0.20077358,-0.25927266,-0.20279638,-0.16622248,0.2880458,0.20718215,-0.018981492,0.037574496,-0.034617886,0.26989815,-0.019839201
40.74516,-110.01319,-2.2776752,-2.3956692,-1.286321,-1.4335071,-2.2164152,-0.30788285,-0.48793057,-0.052259084,-1.8504821,0.022097895,-0.122349285,-0.14091052
36.15135,-97.940994,0.73619676,0.7119896,0.9309151,0.82485163,0.7701778,0.24037108,-0.72899663,-0.023964196,0.07899751,-0.0066704345,0.034317564,-0.02644734
39.878174,-104.60149,-0.49219498,-0.5307637,-0.38635486,-0.4136651,-0.52263075,0.4099339,0.49307102,0.018434498,0.0778893,-0.00643642,-0.05508771,-0.025427938
41.30297,-107.80429,-1.31483,-1.2058837,-2.03805,-1.8880434,-1.1823025,-1.1550347,0.44695765,-0.07344035,-0.9622837,-0.34888682,0.011451703,0.16308896
49.19405,-106.0031,2.3926501,2.0258842,0.79909307,1.4901781,2.3250132,0.23527658,-0.15393133,-0.039491445,2.4997525,-0.04352586,-0.44391862,-0.019519644
38.979786,-97.78554,0.7630147,0.78282344,0.8970412,0.82383215,0.7823312,0.37495595,-0.44025275,0.1532746,0.61580473,0.07775474,0.25240517,-0.021766491
35.871166,-98.242195,0.4900392,0.45957097,0.6322901,0.55718297,0.5138357,0.32722566,-0.4117543,-0.0031447124,0.057886958,0.014024488,-0.018001232,-0.026858555
36.148914,-98.97279,0.41214705,0.38683602,0.5308866,0.42301068,0.43023753,0.6727155,-0.38661152,-0.0040600565,0.02908197,-0.017972952,0.04502236,-0.021937286
32.60548,-95.506905,0.22944114,0.24676697,0.12277705,0.17652807,0.24859448,-0.5217392,0.019820584,-0.0029075753,0.02493753,0.007213695,0.4139316,-0.019205207
34.654106,-99.14183,-0.13033037,-0.13999732,-0.24019176,-0.21864869,-0.13620716,-0.10353465,0.32120717,-0.0019677265,0.03398843,0.0041981265,0.03615493,-0.025679938
39.806114,-103.395645,-1.0253451,-0.97947353,-1.1244717,-1.2710027,-0.94384444,-0.6623523,0.5473956,-0.0344458,-0.42305508,-0.43275878,-0.0887266,-0.027411383
47.73953,-104.29608,1.9363716,1.8668201,0.67610335,1.3750831,1.8842332,0.20616989,-0.5583243,-0.016622452,1.1813183,-0.021983026,1.1255643,-0.019999739
35.52581,-97.31542,0.51243114,0.5000422,0.6366244,0.57630664,0.5206766,0.18158461,-0.33851793,0.0055918456,0.03423919,0.030499907,0.0120601,-0.024363918
39.768326,-105.76474,-0.62217766,-0.6513068,-0.79924136,-0.80605894,-0.66135,0.041223057,0.8025946,-0.03568309,-0.0032186254,-0.013276526,0.02252043,0.1564104
34.437828,-97.95791,0.14567678,0.14826323,0.11253127,0.11763868,0.14010808,0.09351789,0.050917305,-0.0066453284,0.034478705,0.0059627756,0.055858165,-0.022772165
30.683954,-94.96643,0.35060057,0.35913312,0.14036953,0.25203097,0.36764833,-1.3368781,-0.5189306,-0.015011602,0.06242659,0.0024557,0.05235827,-0.02667558
33.55613,-96.22811,0.34972477,0.3194829,0.35100827,0.4014916,0.3532794,-0.31292212,-0.52372,0.015584823,0.07416451,0.055195786,-0.017580796,-0.031241126
40.17435,-104.635155,-0.47619045,-0.5340715,-0.36930928,-0.37430778,-0.48227295,0.6186056,0.49835062,0.06003579,0.11745486,0.022371162,-0.058921788,-0.030198148
