WGS84_latitude,WGS84_longitude,total_dissolved_solids_in_mmol/L_log_gauss,Na_in_mmol/L_log_gauss,Mg_in_mmol/L_log_gauss,Ca_in_mmol/L_log_gauss,Cl_in_mmol/L_log_gauss,SO4_in_mmol/L_log_gauss,HCO3_in_mmol/L_log_gauss,Li_in_mmol/L_log_gauss,K_in_mmol/L_log_gauss,Sr_in_umol/L_log_gauss,Fe_in_mmol/L_log_gauss,F_in_umol/L_log_gauss
40.451588,-106.00923,-0.62797046,-0.61845815,-1.1648537,-1.2111957,-0.60703665,-1.5418983,1.1280113,-0.04208272,-0.252986,-0.1577122,0.046340697,-0.0149286315
32.667133,-95.78702,0.33027542,0.39014706,0.34047166,0.36349022,0.34177846,-0.47200525,-0.38124895,-0.016968476,0.0072438284,0.012642356,0.0179669,-0.019942274
47.121704,-102.68085,1.3241981,1.5861417,0.42487878,0.6838874,1.2384428,0.80554163,-0.19408639,-0.0050446023,0.30516836,-0.01354638,-0.116344824,-0.018227879
48.57636,-103.96129,1.6079144,1.687993,0.6320452,1.3208582,1.5558591,0.016386954,-0.6216716,-0.055425074,1.7252756,-0.002622068,-0.19078548,-0.017342925
43.838276,-99.872665,1.3412532,1.4118645,1.0530701,1.253114,1.3478613,0.17752033,-0.72843367,-0.0022218346,0.6085701,0.015462946,-0.1320198,-0.0113213165
32.95442,-95.80759,0.5339236,0.5791191,0.6041405,0.5956436,0.54099745,-0.26847392,-0.3266547,-0.028794153,-0.024400292,-0.020663079,-0.0008209659,-0.02221526
39.30193,-98.11597,1.3460121,1.3414423,1.4368074,1.4510895,1.3786485,0.04765116,-0.9539008,-0.020622294,0.057703964,-0.024639012,-0.0060624317,-0.018832682
38.93955,-98.92639,0.9534548,1.027075,0.92440736,0.91487676,0.9375301,0.238094,-0.8153507,-0.010548867,-0.017339932,0.0010547517,-0.12340638,-0.021962216
40.595146,-60.87794,-0.36919254,-0.36937776,-0.28032622,-0.13759503,-0.27582657,0.05577529,0.02334343,-0.005409786,0.24917476,-0.01715714,0.18612824,-0.030771287
35.41561,-96.076004,0.99236333,1.0383819,1.1865726,1.1159034,1.0405085,-0.06489808,-0.74285674,-0.017805437,-0.035491712,-0.004101119,0.11072472,-0.018829402
48.84467,-108.95714,2.124171,2.0213184,0.88913107,1.4187636,2.1050067,0.22071762,-0.27122352,0.34574392,2.4734821,-0.16804598,-0.36447868,-0.014867531
35.959007,-96.90555,0.7732246,0.7999438,0.97984093,0.9002347,0.8081201,-0.023862185,-0.9410739,-0.008596571,-0.0047483225,0.0074548526,0.05045747,-0.022497518
